case;id;position;input;word;ldo;ldo_acc;ldo_acc_mean;ldo_acc_mean_dik;udo;udo_acc;udo_acc_mean;udo_acc_mean_dik;OND_mean_1;OLD20_m_mean_1;OLD20_sd_mean_1;OUP_mean_1;OS_mean_1;l1;l2;l3;l4;l5;l6;l7;l_avg.1;l_avg.2;l_avg.3;l_avg.4;l_avg.5;l_avg.6;l_avg.7;l_ratio_1;l_ratio_2;l_ratio_3;l_ratio_4;l_ratio_5;l_ratio_6;l_ratio_7;l_mean;l_min;l_max;l_sd;l_avg_mean;l_avg_min;l_avg_max;l_avg_sd;l_ratio_mean;l_ratio_min;l_ratio_max;l_ratio_sd;bg1;bg2;bg3;bg4;bg5;bg6;bg_avg.1;bg_avg.2;bg_avg.3;bg_avg.4;bg_avg.5;bg_avg.6;bg1_ratio;bg2_ratio;bg3_ratio;bg4_ratio;bg5_ratio;bg6_ratio;bg_mean;bg_min;bg_max;bg_sd;bg_avg_mean;bg_avg_min;bg_avg_max;bg_avg_sd;bg_ratio_mean;bg_ratio_min;bg_ratio_max;bg_ratio_sd;tg1;tg2;tg3;tg4;tg5;tg_mean;tg_min;tg_max;tg_sd;CV;CV_freq;CV_beg;CV_end;filter_$;LG_l_mean;LG_l_min;LG_l_avg_mean;LG_l_avg_min;LG_l_ratio_mean;LG_l_ratio_min;LG_bg_mean;LG_bg_min;LG_bg_avg_mean;LG_bg_avg_min;LG_bg_ratio_mean;LG_bg_ratio_min;LG_CV_freq;ZOND_mean_1;ZOLD20_m_mean_1;ZOLD20_sd_mean_1;ZOUP_mean_1;ZOS_mean_1;ZCV_beg;ZLG_CV_freq;ZLG_l_mean;ZLG_l_min;ZLG_l_avg_mean;ZLG_l_avg_min;ZLG_l_ratio_mean;ZLG_l_ratio_min;ZLG_bg_mean;ZLG_bg_min;ZLG_bg_avg_mean;ZLG_bg_avg_min;ZLG_bg_ratio_mean;ZLG_bg_ratio_min
1;1;1;######eiköhän;eiköhän;eiköjän;0;0;0;eiköhän;1;1;1;0;4;0;3;0;75;266;134;5;4;128;599;184,351206434316;213,961077844311;179,110953058321;15,8115942028986;92,4765100671141;140,835051546392;362,577085088458;,406832162645609;1,24321676951709;,748139617996267;,316223648029331;,0432542274475651;,908864651196838;1,65206248446137;173;4;599;208,190617784119;169,874782605973;15,8115942028986;362,577085088458;107,967523739247;,759799080184868;,0432542274475651;1,65206248446137;,560797715663963;2;15;3;1;1;57;16,59375;19,3098591549296;2,6;1;4,33333333333333;38,8695652173913;8,296875;1,28732394366197;,866666666666667;1;4,33333333333333;,681922196796339;4305,57142857143;64;10000;3878,23206530772;13,7844179509424;1;38,8695652173913;14,4605878728007;2,74435352340972;,681922196796339;8,296875;3,04303752537542;1;1;1;1;1;1;1;1;0;VVCVCVC;91;0;0;1;2,2380461031288;,602059991327962;2,23012891396079;1,19897565985109;-,119301236539232;-1,36397144039735;3,6340307984857;1,80617997398389;1,13938843268113;0;,438440055787149;-,166265172894167;1,95904139232109;-,762483446057557;2,11124537675103;-3,44934727928991;-1,58215396541109;-,789450496496574;-1,86616258141381;-1,96087946709712;-,4909301517336;-3,34056138139208;-,845150193526626;-2,68240368795723;-1,30084131892667;-3,71028554600093;-,924563489110368;,0586761450973935;-2,24099511014735;-3,06295287576933;1,26729759516108;-,016968274874859
2;1;2;#####eiköhän#;eiköhän;eikömän;0;0;0;eiköhän;1;1;1;0;4;0;3;0;75;266;134;5;4;128;599;184,351206434316;213,961077844311;179,110953058321;15,8115942028986;92,4765100671141;140,835051546392;362,577085088458;,406832162645609;1,24321676951709;,748139617996267;,316223648029331;,0432542274475651;,908864651196838;1,65206248446137;173;4;599;208,190617784119;169,874782605973;15,8115942028986;362,577085088458;107,967523739247;,759799080184868;,0432542274475651;1,65206248446137;,560797715663963;2;15;3;1;1;57;16,59375;19,3098591549296;2,6;1;4,33333333333333;38,8695652173913;8,296875;1,28732394366197;,866666666666667;1;4,33333333333333;,681922196796339;4030;64;10000;4129,73893444448;13,7844179509424;1;38,8695652173913;14,4605878728007;2,74435352340972;,681922196796339;8,296875;3,04303752537542;1;1;1;1;1;1;1;1;0;VVCVCVC;91;0;0;0;2,2380461031288;,602059991327962;2,23012891396079;1,19897565985109;-,119301236539232;-1,36397144039735;3,60530504614111;1,80617997398389;1,13938843268113;0;,438440055787149;-,166265172894167;1,95904139232109; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3;1;3;####eiköhän##;eiköhän;eikökän;0;0;0;eiköhän;1;1;1;0;4;0;3;0;75;266;134;5;4;128;599;184,351206434316;213,961077844311;179,110953058321;15,8115942028986;92,4765100671141;140,835051546392;362,577085088458;,406832162645609;1,24321676951709;,748139617996267;,316223648029331;,0432542274475651;,908864651196838;1,65206248446137;173;4;599;208,190617784119;169,874782605973;15,8115942028986;362,577085088458;107,967523739247;,759799080184868;,0432542274475651;1,65206248446137;,560797715663963;2;15;3;1;1;57;16,59375;19,3098591549296;2,6;1;4,33333333333333;38,8695652173913;8,296875;1,28732394366197;,866666666666667;1;4,33333333333333;,681922196796339;3459,85714285714;10;10000;4401,14482941925;13,7844179509424;1;38,8695652173913;14,4605878728007;2,74435352340972;,681922196796339;8,296875;3,04303752537542;1;1;1;1;1;1;1;1;0;VVCVCVC;91;0;0;0;2,2380461031288;,602059991327962;2,23012891396079;1,19897565985109;-,119301236539232;-1,36397144039735;3,53905816718882;1;1,13938843268113;0;,438440055787149;-,166265172894167;1,95904139232109; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
4;1;4;###eiköhän###;eiköhän;eikötän;0;0;0;eiköhän;1;1;1;0;4;0;3;0;75;266;134;5;4;128;599;184,351206434316;213,961077844311;179,110953058321;15,8115942028986;92,4765100671141;140,835051546392;362,577085088458;,406832162645609;1,24321676951709;,748139617996267;,316223648029331;,0432542274475651;,908864651196838;1,65206248446137;173;4;599;208,190617784119;169,874782605973;15,8115942028986;362,577085088458;107,967523739247;,759799080184868;,0432542274475651;1,65206248446137;,560797715663963;2;15;3;1;1;57;16,59375;19,3098591549296;2,6;1;4,33333333333333;38,8695652173913;8,296875;1,28732394366197;,866666666666667;1;4,33333333333333;,681922196796339;2602,14285714286;2;10000;4408,62765603127;13,7844179509424;1;38,8695652173913;14,4605878728007;2,74435352340972;,681922196796339;8,296875;3,04303752537542;1;1;1;1;1;1;1;1;0;VVCVCVC;91;0;0;0;2,2380461031288;,602059991327962;2,23012891396079;1,19897565985109;-,119301236539232;-1,36397144039735;3,41533113556368;,301029995663981;1,13938843268113;0;,438440055787149;-,166265172894167;1,95904139232109; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5;1;5;##eiköhän####;eiköhän;eikötän;0;0;0;eiköhän;1;1;1;0;4;0;3;0;75;266;134;5;4;128;599;184,351206434316;213,961077844311;179,110953058321;15,8115942028986;92,4765100671141;140,835051546392;362,577085088458;,406832162645609;1,24321676951709;,748139617996267;,316223648029331;,0432542274475651;,908864651196838;1,65206248446137;173;4;599;208,190617784119;169,874782605973;15,8115942028986;362,577085088458;107,967523739247;,759799080184868;,0432542274475651;1,65206248446137;,560797715663963;2;15;3;1;1;57;16,59375;19,3098591549296;2,6;1;4,33333333333333;38,8695652173913;8,296875;1,28732394366197;,866666666666667;1;4,33333333333333;,681922196796339;1456,42857142857;2;10000;3767,47310793954;13,7844179509424;1;38,8695652173913;14,4605878728007;2,74435352340972;,681922196796339;8,296875;3,04303752537542;1;1;1;1;1;1;1;1;0;VVCVCVC;91;0;0;0;2,2380461031288;,602059991327962;2,23012891396079;1,19897565985109;-,119301236539232;-1,36397144039735;3,1632891900999;,301029995663981;1,13938843268113;0;,438440055787149;-,166265172894167;1,95904139232109; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
6;1;6;#eiköhän#####;eiköhän;eikötän;0;0;0;eiköhän;1;1;1;0;4;0;3;0;75;266;134;5;4;128;599;184,351206434316;213,961077844311;179,110953058321;15,8115942028986;92,4765100671141;140,835051546392;362,577085088458;,406832162645609;1,24321676951709;,748139617996267;,316223648029331;,0432542274475651;,908864651196838;1,65206248446137;173;4;599;208,190617784119;169,874782605973;15,8115942028986;362,577085088458;107,967523739247;,759799080184868;,0432542274475651;1,65206248446137;,560797715663963;2;15;3;1;1;57;16,59375;19,3098591549296;2,6;1;4,33333333333333;38,8695652173913;8,296875;1,28732394366197;,866666666666667;1;4,33333333333333;,681922196796339;34,7142857142857;2;92;36,1741817954661;13,7844179509424;1;38,8695652173913;14,4605878728007;2,74435352340972;,681922196796339;8,296875;3,04303752537542;1;1;1;1;1;1;1;1;0;VVCVCVC;91;0;0;0;2,2380461031288;,602059991327962;2,23012891396079;1,19897565985109;-,119301236539232;-1,36397144039735;1,54050823358406;,301029995663981;1,13938843268113;0;,438440055787149;-,166265172894167;1,95904139232109; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7;1;7;eiköhän######;eiköhän;eiköään;0;0;0;eiköhän;1;1;1;0;4;0;3;0;75;266;134;5;4;128;599;184,351206434316;213,961077844311;179,110953058321;15,8115942028986;92,4765100671141;140,835051546392;362,577085088458;,406832162645609;1,24321676951709;,748139617996267;,316223648029331;,0432542274475651;,908864651196838;1,65206248446137;173;4;599;208,190617784119;169,874782605973;15,8115942028986;362,577085088458;107,967523739247;,759799080184868;,0432542274475651;1,65206248446137;,560797715663963;2;15;3;1;1;57;16,59375;19,3098591549296;2,6;1;4,33333333333333;38,8695652173913;8,296875;1,28732394366197;,866666666666667;1;4,33333333333333;,681922196796339;104;2;599;220,615804813103;13,7844179509424;1;38,8695652173913;14,4605878728007;2,74435352340972;,681922196796339;8,296875;3,04303752537542;1;1;1;1;1;1;1;1;0;VVCVCVC;91;0;0;0;2,2380461031288;,602059991327962;2,23012891396079;1,19897565985109;-,119301236539232;-1,36397144039735;2,01703333929878;,301029995663981;1,13938843268113;0;,438440055787149;-,166265172894167;1,95904139232109; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
8;2;1;######ihailla;ihailla;ihfilla;0;0;0;ihailla;1;1;1;0;3,2;,523148364;3;0;56;35;64;269;174;213;555;213,961077844311;92,4765100671141;355,749055585537;213,961077844311;157,965517241379;157,965517241379;355,749055585537;,261729846214125;,378474490166195;,17990209389217;1,25723801127856;1,10150622134905;1,34839554682384;1,56008847047116;195,142857142857;35;555;181,623629677261;221,118258772796;92,4765100671141;355,749055585537;100,729497843214;,869619240027872;,17990209389217;1,56008847047116;,576838627950051;8;2;8;40;113;108;10,7575757575758;26,2131147540984;30,4666666666667;26,7777777777778;90,6575342465753;73,4719101123596;1,34469696969697;13,1065573770492;3,80833333333333;,669444444444445;,802279064128985;,680295464003329;4298,42857142857;33;10000;3887,34716128891;43,0574298858422;10,7575757575758;90,6575342465753;31,4368460974304;3,40193444210937;,669444444444445;13,1065573770492;4,90324628760973;1;2;2;27;45;15,4;1;45;19,85698869416;VCVVCCV;266;0;1;1;2,29035265933126;1,54406804435028;2,34462460579385;1,96603143172531;-,0606708601987851;-,744963781843315;3,6333097143028;1,51851393987789;1,63404810306042;1,03171441317721;,531725940168827;-,174285458192419;2,42488163663107;-,762483446057557;,3407162070872;-,409624801571316;-1,58215396541109;-,789450496496574;-1,86616258141381;-,954106884267693;-,026869578442223;-,494950687771338;,550546193546887;,176844044046879;-,616302602329295;-1,26546585963849;-1,3710163283492;-,760872119561802;,789452868861859;,296217924356807;1,69610742759867;-,192513483345541
9;2;2;#####ihailla#;ihailla;ihiilla;0;0;0;ihailla;1;1;1;0;3,2;,523148364;3;0;56;35;64;269;174;213;555;213,961077844311;92,4765100671141;355,749055585537;213,961077844311;157,965517241379;157,965517241379;355,749055585537;,261729846214125;,378474490166195;,17990209389217;1,25723801127856;1,10150622134905;1,34839554682384;1,56008847047116;195,142857142857;35;555;181,623629677261;221,118258772796;92,4765100671141;355,749055585537;100,729497843214;,869619240027872;,17990209389217;1,56008847047116;,576838627950051;8;2;8;40;113;108;10,7575757575758;26,2131147540984;30,4666666666667;26,7777777777778;90,6575342465753;73,4719101123596;1,34469696969697;13,1065573770492;3,80833333333333;,669444444444445;,802279064128985;,680295464003329;4021,42857142857;33;10000;4139,33834717349;43,0574298858422;10,7575757575758;90,6575342465753;31,4368460974304;3,40193444210937;,669444444444445;13,1065573770492;4,90324628760973;1;2;2;27;45;15,4;1;45;19,85698869416;VCVVCCV;266;0;1;0;2,29035265933126;1,54406804435028;2,34462460579385;1,96603143172531;-,0606708601987851;-,744963781843315;3,60438035917311;1,51851393987789;1,63404810306042;1,03171441317721;,531725940168827;-,174285458192419;2,42488163663107; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
10;2;3;####ihailla##;ihailla;ihiilla;0;0;0;ihailla;1;1;1;0;3,2;,523148364;3;0;56;35;64;269;174;213;555;213,961077844311;92,4765100671141;355,749055585537;213,961077844311;157,965517241379;157,965517241379;355,749055585537;,261729846214125;,378474490166195;,17990209389217;1,25723801127856;1,10150622134905;1,34839554682384;1,56008847047116;195,142857142857;35;555;181,623629677261;221,118258772796;92,4765100671141;355,749055585537;100,729497843214;,869619240027872;,17990209389217;1,56008847047116;,576838627950051;8;2;8;40;113;108;10,7575757575758;26,2131147540984;30,4666666666667;26,7777777777778;90,6575342465753;73,4719101123596;1,34469696969697;13,1065573770492;3,80833333333333;,669444444444445;,802279064128985;,680295464003329;3462,85714285714;33;10000;4398,41617056911;43,0574298858422;10,7575757575758;90,6575342465753;31,4368460974304;3,40193444210937;,669444444444445;13,1065573770492;4,90324628760973;1;2;2;27;45;15,4;1;45;19,85698869416;VCVVCCV;266;0;1;0;2,29035265933126;1,54406804435028;2,34462460579385;1,96603143172531;-,0606708601987851;-,744963781843315;3,53943457547999;1,51851393987789;1,63404810306042;1,03171441317721;,531725940168827;-,174285458192419;2,42488163663107; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
