{
'Raw input: ######kkoyöjy':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: #####kkoyöjy#':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: ####kkoyöjy##':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: ###kkoyöjy###':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: ##kkoyöjy####':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: #kkoyöjy#####':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: kkoyöjy######':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: ######ogghrul':'('LD output: ogghrul', 'UDT output: ogghrul')'
'Raw input: #####ogghrul#':'('LD output: ogghrul', 'UDT output: ogghrul')'
'Raw input: ####ogghrul##':'('LD output: ogghrul', 'UDT output: ogghrul')'
'Raw input: ###ogghrul###':'('LD output: ogghrul', 'UDT output: ogghrul')'
'Raw input: ##ogghrul####':'('LD output: ogghrul', 'UDT output: ogghrul')'
'Raw input: #ogghrul#####':'('LD output: oggrrul', 'UDT output: ogghrul')'
'Raw input: ogghrul######':'('LD output: ogghrul', 'UDT output: ogghrul')'
'Raw input: ######hahioyn':'('LD output: hahioyn', 'UDT output: hahioyn')'
'Raw input: #####hahioyn#':'('LD output: hahioyn', 'UDT output: hahioyn')'
'Raw input: ####hahioyn##':'('LD output: hahyoyn', 'UDT output: hahioyn')'
'Raw input: ###hahioyn###':'('LD output: hahioyn', 'UDT output: hahioyn')'
'Raw input: ##hahioyn####':'('LD output: hahioyn', 'UDT output: hahioyn')'
'Raw input: #hahioyn#####':'('LD output: hahioyn', 'UDT output: hahioyn')'
'Raw input: hahioyn######':'('LD output: hahioyn', 'UDT output: hahioyn')'
'Raw input: ######eutvgyl':'('LD output: eutvgyl', 'UDT output: eutvgyl')'
'Raw input: #####eutvgyl#':'('LD output: eutvgyl', 'UDT output: eutvgyl')'
'Raw input: ####eutvgyl##':'('LD output: eutvgyl', 'UDT output: eutvgyl')'
'Raw input: ###eutvgyl###':'('LD output: eutvgyl', 'UDT output: eutvgyl')'
'Raw input: ##eutvgyl####':'('LD output: eutvgyl', 'UDT output: eutvgyl')'
'Raw input: #eutvgyl#####':'('LD output: eutvgyl', 'UDT output: eutvgyl')'
'Raw input: eutvgyl######':'('LD output: eutvgyl', 'UDT output: eutvgyl')'
'Raw input: ######rirsövb':'('LD output: rirsövb', 'UDT output: rirsövb')'
'Raw input: #####rirsövb#':'('LD output: rirsövb', 'UDT output: rirsövb')'
'Raw input: ####rirsövb##':'('LD output: rirsövb', 'UDT output: rirsövb')'
'Raw input: ###rirsövb###':'('LD output: rirsövb', 'UDT output: rirsövb')'
'Raw input: ##rirsövb####':'('LD output: rirsövb', 'UDT output: rirsövb')'
'Raw input: #rirsövb#####':'('LD output: rirsövb', 'UDT output: rirsövb')'
'Raw input: rirsövb######':'('LD output: rirsövb', 'UDT output: rirsövb')'
'Raw input: ######jdohrde':'('LD output: jdohrde', 'UDT output: jdohrde')'
'Raw input: #####jdohrde#':'('LD output: jdohrde', 'UDT output: jdohrde')'
'Raw input: ####jdohrde##':'('LD output: jdohrde', 'UDT output: jdohrde')'
'Raw input: ###jdohrde###':'('LD output: jdohrde', 'UDT output: jdohrde')'
'Raw input: ##jdohrde####':'('LD output: jdohrde', 'UDT output: jdohrde')'
'Raw input: #jdohrde#####':'('LD output: jdohrde', 'UDT output: jdohrde')'
'Raw input: jdohrde######':'('LD output: jdohrde', 'UDT output: jdohrde')'
'Raw input: ######lrdmgsd':'('LD output: lrdmgsd', 'UDT output: lrdmgsd')'
'Raw input: #####lrdmgsd#':'('LD output: lrdmgsd', 'UDT output: lrdmgsd')'
'Raw input: ####lrdmgsd##':'('LD output: lrdmgsd', 'UDT output: lrdmgsd')'
'Raw input: ###lrdmgsd###':'('LD output: lrdmgsd', 'UDT output: lrdmgsd')'
'Raw input: ##lrdmgsd####':'('LD output: lrdmgsd', 'UDT output: lrdmgsd')'
'Raw input: #lrdmgsd#####':'('LD output: lrdmgsd', 'UDT output: lrdmgsd')'
'Raw input: lrdmgsd######':'('LD output: lrdmgsd', 'UDT output: lrdmgsd')'
'Raw input: ######bnkovti':'('LD output: bnkovti', 'UDT output: bnkovti')'
'Raw input: #####bnkovti#':'('LD output: bnkovti', 'UDT output: bnkovti')'
'Raw input: ####bnkovti##':'('LD output: bnkovti', 'UDT output: bnkovti')'
'Raw input: ###bnkovti###':'('LD output: bnkovti', 'UDT output: bnkovti')'
'Raw input: ##bnkovti####':'('LD output: bnkovti', 'UDT output: bnkovti')'
'Raw input: #bnkovti#####':'('LD output: bnkovti', 'UDT output: bnkovti')'
'Raw input: bnkovti######':'('LD output: bnkovti', 'UDT output: bnkovti')'
'Raw input: ######dkkelyn':'('LD output: dkkelyn', 'UDT output: dkkelyn')'
'Raw input: #####dkkelyn#':'('LD output: dkkelyn', 'UDT output: dkkelyn')'
'Raw input: ####dkkelyn##':'('LD output: dkkelyn', 'UDT output: dkkelyn')'
'Raw input: ###dkkelyn###':'('LD output: dkkelyn', 'UDT output: dkkelyn')'
'Raw input: ##dkkelyn####':'('LD output: dkkelyn', 'UDT output: dkkelyn')'
'Raw input: #dkkelyn#####':'('LD output: dkkelyn', 'UDT output: dkkelyn')'
'Raw input: dkkelyn######':'('LD output: dkkelyn', 'UDT output: dkkelyn')'
'Raw input: ######elkmrlu':'('LD output: elkmrlu', 'UDT output: elkmrlu')'
'Raw input: #####elkmrlu#':'('LD output: elkmrlu', 'UDT output: elkmrlu')'
'Raw input: ####elkmrlu##':'('LD output: elkmrlu', 'UDT output: elkmrlu')'
'Raw input: ###elkmrlu###':'('LD output: elkmrlu', 'UDT output: elkmrlu')'
'Raw input: ##elkmrlu####':'('LD output: elkmrlu', 'UDT output: elkmrlu')'
'Raw input: #elkmrlu#####':'('LD output: elkmrlu', 'UDT output: elkmrlu')'
'Raw input: elkmrlu######':'('LD output: elkmrlu', 'UDT output: elkmrlu')'
'Raw input: ######bydnorg':'('LD output: bydnorg', 'UDT output: bydnorg')'
'Raw input: #####bydnorg#':'('LD output: bydnorg', 'UDT output: bydnorg')'
'Raw input: ####bydnorg##':'('LD output: bydnorg', 'UDT output: bydnorg')'
'Raw input: ###bydnorg###':'('LD output: bydnorg', 'UDT output: bydnorg')'
'Raw input: ##bydnorg####':'('LD output: bydnorg', 'UDT output: bydnorg')'
'Raw input: #bydnorg#####':'('LD output: bydnorg', 'UDT output: bydnorg')'
'Raw input: bydnorg######':'('LD output: bydnorg', 'UDT output: bydnorg')'
'Raw input: ######pbudoby':'('LD output: pbudoby', 'UDT output: pbudoby')'
'Raw input: #####pbudoby#':'('LD output: pbudoby', 'UDT output: pbudoby')'
'Raw input: ####pbudoby##':'('LD output: pbudoby', 'UDT output: pbudoby')'
'Raw input: ###pbudoby###':'('LD output: pbudoby', 'UDT output: pbudoby')'
'Raw input: ##pbudoby####':'('LD output: pbudoby', 'UDT output: pbudoby')'
'Raw input: #pbudoby#####':'('LD output: pbudoby', 'UDT output: pbudoby')'
'Raw input: pbudoby######':'('LD output: pbudoby', 'UDT output: pbudoby')'
'Raw input: ######ehbmryd':'('LD output: ehbmryd', 'UDT output: ehbmryd')'
'Raw input: #####ehbmryd#':'('LD output: ehbmryd', 'UDT output: ehbmryd')'
'Raw input: ####ehbmryd##':'('LD output: ehbmryd', 'UDT output: ehbmryd')'
