,a,b,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,y,ä,ö
a,2.728861,3.342182,3.520677,3.462586,3.401028,3.347828,3.280333,3.391173,3.337121,3.220927,3.432514,3.324472,3.430278,3.258298,3.296474,3.367420,3.302179,3.229531,3.294650,3.470598,3.295865,3.187852,3.514694
b,3.342182,2.636013,3.298390,3.242785,3.343361,3.254426,3.175122,3.245790,3.358468,3.120533,3.283584,3.262333,3.301811,3.255172,3.106664,3.291183,3.225419,3.156578,3.256533,3.296141,3.178301,3.122021,3.420489
d,3.520677,3.298390,2.864259,3.329988,3.405446,3.448987,3.292611,3.343937,3.430048,3.313222,3.337792,3.388792,3.361086,3.419256,3.238796,3.418237,3.369262,3.299896,3.437720,3.481900,3.246199,3.377479,3.429203
e,3.462586,3.242785,3.329988,2.755529,3.334033,3.293957,3.304419,3.364012,3.280045,3.131070,3.269475,3.183748,3.318331,3.240868,3.173375,3.231389,3.279574,3.090400,3.296710,3.297388,3.189360,3.296604,3.345218
f,3.401028,3.343361,3.405446,3.334033,2.729913,3.373897,3.285426,3.357186,3.281180,3.202789,3.360144,3.314582,3.215192,3.205738,3.207972,3.364721,3.318965,3.243218,3.249342,3.382583,3.147729,3.231634,3.359670
g,3.347828,3.254426,3.448987,3.293957,3.373897,2.809155,3.297343,3.422327,3.269297,3.259223,3.437578,3.361860,3.379589,3.272223,3.267203,3.260890,3.219904,3.234255,3.263466,3.555608,3.268550,3.257163,3.442298
h,3.280333,3.175122,3.292611,3.304419,3.285426,3.297343,2.701637,3.221205,3.318331,3.052456,3.283290,3.344317,3.189246,3.221264,3.149902,3.306668,3.081013,3.107188,3.147664,3.371264,3.153882,3.138610,3.429869
i,3.391173,3.245790,3.343937,3.364012,3.357186,3.422327,3.221205,2.707360,3.371911,3.213380,3.349095,3.276715,3.249155,3.245594,3.210050,3.278515,3.199242,3.129035,3.238342,3.364987,3.180848,3.224364,3.480885
j,3.337121,3.358468,3.430048,3.280045,3.281180,3.269297,3.318331,3.371911,2.719855,3.282254,3.277945,3.255847,3.291304,3.200377,3.223036,3.302041,3.208390,3.199272,3.142162,3.429533,3.191567,3.201922,3.375669
k,3.220927,3.120533,3.313222,3.131070,3.202789,3.259223,3.052456,3.213380,3.282254,2.599119,3.189007,3.180181,3.172307,3.085929,3.111414,3.192402,3.085811,3.065390,3.192422,3.214585,3.130027,3.140645,3.249794
l,3.432514,3.283584,3.337792,3.269475,3.360144,3.437578,3.283290,3.349095,3.277945,3.189007,2.747938,3.245724,3.328694,3.338002,3.195327,3.301547,3.257918,3.224227,3.296896,3.400497,3.251376,3.353882,3.327631
m,3.324472,3.262333,3.388792,3.183748,3.314582,3.361860,3.344317,3.276715,3.255847,3.180181,3.245724,2.710731,3.288759,3.237333,3.257146,3.254953,3.299982,3.150280,3.234770,3.334978,3.195958,3.224341,3.424200
n,3.430278,3.301811,3.361086,3.318331,3.215192,3.379589,3.189246,3.249155,3.291304,3.172307,3.328694,3.288759,2.748007,3.229743,3.205155,3.329680,3.202872,3.137533,3.239041,3.395096,3.189438,3.195255,3.380160
o,3.258298,3.255172,3.419256,3.240868,3.205738,3.272223,3.221264,3.245594,3.200377,3.085929,3.338002,3.237333,3.229743,2.653831,3.210250,3.178676,3.201698,3.070811,3.238505,3.309488,3.150438,3.179621,3.325753
p,3.296474,3.106664,3.238796,3.173375,3.207972,3.267203,3.149902,3.210050,3.223036,3.111414,3.195327,3.257146,3.205155,3.210250,2.557003,3.263484,3.129248,3.127534,3.165437,3.375112,3.033348,3.113424,3.232891
r,3.367420,3.291183,3.418237,3.231389,3.364721,3.260890,3.306668,3.278515,3.302041,3.192402,3.301547,3.254953,3.329680,3.178676,3.263484,2.669964,3.265674,3.172543,3.273304,3.287355,3.215608,3.256952,3.397050
s,3.302179,3.225419,3.369262,3.279574,3.318965,3.219904,3.081013,3.199242,3.208390,3.085811,3.257918,3.299982,3.202872,3.201698,3.129248,3.265674,2.685421,3.095130,3.136503,3.406168,3.106562,3.138778,3.357434
t,3.229531,3.156578,3.299896,3.090400,3.243218,3.234255,3.107188,3.129035,3.199272,3.065390,3.224227,3.150280,3.137533,3.070811,3.127534,3.172543,3.095130,2.530086,3.155744,3.245941,3.035556,3.050189,3.289093
u,3.294650,3.256533,3.437720,3.296710,3.249342,3.263466,3.147664,3.238342,3.142162,3.192422,3.296896,3.234770,3.239041,3.238505,3.165437,3.273304,3.136503,3.155744,2.704512,3.405071,3.137730,3.022298,3.435114
v,3.470598,3.296141,3.481900,3.297388,3.382583,3.555608,3.371264,3.364987,3.429533,3.214585,3.400497,3.334978,3.395096,3.309488,3.375112,3.287355,3.406168,3.245941,3.405071,2.791491,3.271408,3.336923,3.501967
y,3.295865,3.178301,3.246199,3.189360,3.147729,3.268550,3.153882,3.180848,3.191567,3.130027,3.251376,3.195958,3.189438,3.150438,3.033348,3.215608,3.106562,3.035556,3.137730,3.271408,2.654199,3.088087,3.353682
ä,3.187852,3.122021,3.377479,3.296604,3.231634,3.257163,3.138610,3.224364,3.201922,3.140645,3.353882,3.224341,3.195255,3.179621,3.113424,3.256952,3.138778,3.050189,3.022298,3.336923,3.088087,2.507287,3.430657
ö,3.514694,3.420489,3.429203,3.345218,3.359670,3.442298,3.429869,3.480885,3.375669,3.249794,3.327631,3.424200,3.380160,3.325753,3.232891,3.397050,3.357434,3.289093,3.435114,3.501967,3.353682,3.430657,2.748817
