,a,b,d,e,f,g,h,i,j,k,l,m,n,o,p,r,s,t,u,v,y,ä,ö
a,3.250476,3.082250,3.406052,3.676489,3.117098,2.949738,3.592921,3.714628,3.610321,3.583063,3.751713,3.684641,3.793465,3.625497,3.583759,3.753823,3.832331,3.840246,3.584242,3.757846,3.615482,3.700181,3.451825
b,3.082250,1.225463,2.205507,3.020350,1.585529,1.482751,2.607191,3.044077,2.640875,2.717031,2.798991,2.814214,3.069879,2.911915,2.554623,2.759777,2.960752,2.980413,2.967784,2.836149,2.814628,3.034831,2.456720
d,3.406052,2.205507,2.199409,3.349365,2.257648,2.159151,3.027749,3.432653,3.106485,3.184078,3.263740,3.242296,3.413858,3.305029,3.006460,3.218399,3.392664,3.437956,3.297205,3.273144,3.157860,3.338224,2.934902
e,3.676489,3.020350,3.349365,3.155752,3.039109,2.914883,3.517185,3.708228,3.560211,3.602642,3.702802,3.666768,3.850714,3.591435,3.559052,3.736942,3.772534,3.837219,3.597117,3.719280,3.496678,3.602082,3.452458
f,3.117098,1.585529,2.257648,3.039109,1.372002,1.554242,2.565942,3.037898,2.673007,2.707984,2.826261,2.837688,3.128188,2.934949,2.599851,2.825143,3.019539,3.101307,2.955884,2.861268,2.796269,3.034330,2.477736
g,2.949738,1.482751,2.159151,2.914883,1.554242,1.209145,2.541968,2.990521,2.617711,2.643146,2.828800,2.791108,3.060223,2.884746,2.531807,2.783322,3.034001,3.010628,2.846431,2.838892,2.694102,2.907752,2.402350
h,3.592921,2.607191,3.027749,3.517185,2.565942,2.541968,2.737920,3.561111,3.239058,3.274271,3.379099,3.332917,3.612700,3.480232,3.157167,3.408388,3.510413,3.549841,3.489562,3.363957,3.332166,3.515925,3.090293
i,3.714628,3.044077,3.432653,3.708228,3.037898,2.990521,3.561111,3.251434,3.593928,3.608920,3.707854,3.660928,3.840917,3.678908,3.547679,3.706749,3.777918,3.857367,3.640402,3.761936,3.544230,3.669257,3.394270
j,3.610321,2.640875,3.106485,3.560211,2.673007,2.617711,3.239058,3.593928,2.774671,3.345979,3.452348,3.362253,3.618568,3.487791,3.223133,3.441072,3.541919,3.588186,3.532985,3.475121,3.367794,3.527443,3.284961
k,3.583063,2.717031,3.184078,3.602642,2.707984,2.643146,3.274271,3.608920,3.345979,2.864966,3.428568,3.419196,3.619127,3.488131,3.217456,3.432069,3.599772,3.589399,3.544612,3.410793,3.415337,3.489283,3.207792
l,3.751713,2.798991,3.263740,3.702802,2.826261,2.828800,3.379099,3.707854,3.452348,3.428568,3.075337,3.506639,3.742345,3.625631,3.336348,3.498459,3.636702,3.663146,3.629435,3.553367,3.512334,3.643508,3.318568
m,3.684641,2.814214,3.242296,3.666768,2.837688,2.791108,3.332917,3.660928,3.362253,3.419196,3.506639,3.001890,3.677743,3.635287,3.349684,3.523305,3.646659,3.681635,3.654197,3.553299,3.485003,3.651073,3.378383
n,3.793465,3.069879,3.413858,3.850714,3.128188,3.060223,3.612700,3.840917,3.618568,3.619127,3.742345,3.677743,3.399986,3.810819,3.590965,3.732308,3.776394,3.798113,3.796898,3.730750,3.728971,3.773059,3.554686
o,3.625497,2.911915,3.305029,3.591435,2.934949,2.884746,3.480232,3.678908,3.487791,3.488131,3.625631,3.635287,3.810819,3.054405,3.527567,3.686114,3.728857,3.763162,3.579436,3.621321,3.529903,3.629395,3.381133
p,3.583759,2.554623,3.006460,3.559052,2.599851,2.531807,3.157167,3.547679,3.223133,3.217456,3.336348,3.349684,3.590965,3.527567,2.669689,3.317481,3.471263,3.550107,3.482682,3.401252,3.335781,3.505232,3.046805
r,3.753823,2.759777,3.218399,3.736942,2.825143,2.783322,3.408388,3.706749,3.441072,3.432069,3.498459,3.523305,3.732308,3.686114,3.317481,3.020859,3.685305,3.669779,3.634617,3.540954,3.584375,3.668442,3.313261
s,3.832331,2.960752,3.392664,3.772534,3.019539,3.034001,3.510413,3.777918,3.541919,3.599772,3.636702,3.646659,3.776394,3.728857,3.471263,3.685305,3.195019,3.753746,3.729803,3.693088,3.594782,3.748153,3.436198
t,3.840246,2.980413,3.437956,3.837219,3.101307,3.010628,3.549841,3.857367,3.588186,3.589399,3.663146,3.681635,3.798113,3.763162,3.550107,3.669779,3.753746,3.347563,3.809205,3.696822,3.720168,3.812961,3.491361
u,3.584242,2.967784,3.297205,3.597117,2.955884,2.846431,3.489562,3.640402,3.532985,3.544612,3.629435,3.654197,3.796898,3.579436,3.482682,3.634617,3.729803,3.809205,3.058079,3.666985,3.479350,3.610027,3.338209
v,3.757846,2.836149,3.273144,3.719280,2.861268,2.838892,3.363957,3.761936,3.475121,3.410793,3.553367,3.553299,3.730750,3.621321,3.401252,3.540954,3.693088,3.696822,3.666985,3.059756,3.537599,3.680521,3.375198
y,3.615482,2.814628,3.157860,3.496678,2.796269,2.694102,3.332166,3.544230,3.367794,3.415337,3.512334,3.485003,3.728971,3.529903,3.335781,3.584375,3.594782,3.720168,3.479350,3.537599,2.770376,3.459903,3.208737
ä,3.700181,3.034831,3.338224,3.602082,3.034330,2.907752,3.515925,3.669257,3.527443,3.489283,3.643508,3.651073,3.773059,3.629395,3.505232,3.668442,3.748153,3.812961,3.610027,3.680521,3.459903,3.088871,3.348594
ö,3.451825,2.456720,2.934902,3.452458,2.477736,2.402350,3.090293,3.394270,3.284961,3.207792,3.318568,3.378383,3.554686,3.381133,3.046805,3.313261,3.436198,3.491361,3.338209,3.375198,3.208737,3.348594,2.312082
