letter_a,letter_b,distance
a,a,2.728861
a,b,3.342182
a,d,3.520677
a,e,3.462586
a,f,3.401028
a,g,3.347828
a,h,3.280333
a,i,3.391173
a,j,3.337121
a,k,3.220927
a,l,3.432514
a,m,3.324472
a,n,3.430278
a,o,3.258298
a,p,3.296474
a,r,3.367420
a,s,3.302179
a,t,3.229531
a,u,3.294650
a,v,3.470598
a,y,3.295865
a,ä,3.187852
a,ö,3.514694
b,a,3.342182
b,b,2.636013
b,d,3.298390
b,e,3.242785
b,f,3.343361
b,g,3.254426
b,h,3.175122
b,i,3.245790
b,j,3.358468
b,k,3.120533
b,l,3.283584
b,m,3.262333
b,n,3.301811
b,o,3.255172
b,p,3.106664
b,r,3.291183
b,s,3.225419
b,t,3.156578
b,u,3.256533
b,v,3.296141
b,y,3.178301
b,ä,3.122021
b,ö,3.420489
d,a,3.520677
d,b,3.298390
d,d,2.864259
d,e,3.329988
d,f,3.405446
d,g,3.448987
d,h,3.292611
d,i,3.343937
d,j,3.430048
d,k,3.313222
d,l,3.337792
d,m,3.388792
d,n,3.361086
d,o,3.419256
d,p,3.238796
d,r,3.418237
d,s,3.369262
d,t,3.299896
d,u,3.437720
d,v,3.481900
d,y,3.246199
d,ä,3.377479
d,ö,3.429203
e,a,3.462586
e,b,3.242785
e,d,3.329988
e,e,2.755529
e,f,3.334033
e,g,3.293957
e,h,3.304419
e,i,3.364012
e,j,3.280045
e,k,3.131070
e,l,3.269475
e,m,3.183748
e,n,3.318331
e,o,3.240868
e,p,3.173375
e,r,3.231389
e,s,3.279574
e,t,3.090400
e,u,3.296710
e,v,3.297388
e,y,3.189360
e,ä,3.296604
e,ö,3.345218
f,a,3.401028
f,b,3.343361
f,d,3.405446
f,e,3.334033
f,f,2.729913
f,g,3.373897
f,h,3.285426
f,i,3.357186
f,j,3.281180
f,k,3.202789
f,l,3.360144
f,m,3.314582
f,n,3.215192
f,o,3.205738
f,p,3.207972
f,r,3.364721
f,s,3.318965
f,t,3.243218
f,u,3.249342
f,v,3.382583
f,y,3.147729
f,ä,3.231634
f,ö,3.359670
g,a,3.347828
g,b,3.254426
g,d,3.448987
g,e,3.293957
g,f,3.373897
g,g,2.809155
g,h,3.297343
g,i,3.422327
g,j,3.269297
g,k,3.259223
g,l,3.437578
g,m,3.361860
g,n,3.379589
g,o,3.272223
g,p,3.267203
g,r,3.260890
g,s,3.219904
g,t,3.234255
g,u,3.263466
g,v,3.555608
g,y,3.268550
g,ä,3.257163
g,ö,3.442298
h,a,3.280333
h,b,3.175122
h,d,3.292611
h,e,3.304419
h,f,3.285426
h,g,3.297343
h,h,2.701637
h,i,3.221205
h,j,3.318331
h,k,3.052456
h,l,3.283290
h,m,3.344317
h,n,3.189246
h,o,3.221264
h,p,3.149902
h,r,3.306668
h,s,3.081013
h,t,3.107188
h,u,3.147664
h,v,3.371264
h,y,3.153882
h,ä,3.138610
h,ö,3.429869
i,a,3.391173
i,b,3.245790
i,d,3.343937
i,e,3.364012
i,f,3.357186
i,g,3.422327
i,h,3.221205
i,i,2.707360
i,j,3.371911
i,k,3.213380
i,l,3.349095
i,m,3.276715
i,n,3.249155
i,o,3.245594
i,p,3.210050
i,r,3.278515
i,s,3.199242
i,t,3.129035
i,u,3.238342
i,v,3.364987
i,y,3.180848
i,ä,3.224364
i,ö,3.480885
j,a,3.337121
j,b,3.358468
j,d,3.430048
j,e,3.280045
j,f,3.281180
j,g,3.269297
j,h,3.318331
j,i,3.371911
j,j,2.719855
j,k,3.282254
j,l,3.277945
j,m,3.255847
j,n,3.291304
j,o,3.200377
j,p,3.223036
j,r,3.302041
j,s,3.208390
j,t,3.199272
j,u,3.142162
j,v,3.429533
j,y,3.191567
j,ä,3.201922
j,ö,3.375669
k,a,3.220927
k,b,3.120533
k,d,3.313222
k,e,3.131070
k,f,3.202789
k,g,3.259223
k,h,3.052456
k,i,3.213380
k,j,3.282254
k,k,2.599119
k,l,3.189007
k,m,3.180181
k,n,3.172307
k,o,3.085929
k,p,3.111414
k,r,3.192402
k,s,3.085811
k,t,3.065390
k,u,3.192422
k,v,3.214585
k,y,3.130027
k,ä,3.140645
k,ö,3.249794
l,a,3.432514
l,b,3.283584
l,d,3.337792
l,e,3.269475
l,f,3.360144
l,g,3.437578
l,h,3.283290
l,i,3.349095
l,j,3.277945
l,k,3.189007
l,l,2.747938
l,m,3.245724
l,n,3.328694
l,o,3.338002
l,p,3.195327
l,r,3.301547
l,s,3.257918
l,t,3.224227
l,u,3.296896
l,v,3.400497
l,y,3.251376
l,ä,3.353882
l,ö,3.327631
m,a,3.324472
m,b,3.262333
m,d,3.388792
m,e,3.183748
m,f,3.314582
m,g,3.361860
m,h,3.344317
m,i,3.276715
m,j,3.255847
m,k,3.180181
m,l,3.245724
m,m,2.710731
m,n,3.288759
m,o,3.237333
m,p,3.257146
m,r,3.254953
m,s,3.299982
m,t,3.150280
m,u,3.234770
m,v,3.334978
m,y,3.195958
m,ä,3.224341
m,ö,3.424200
n,a,3.430278
n,b,3.301811
n,d,3.361086
n,e,3.318331
n,f,3.215192
n,g,3.379589
n,h,3.189246
n,i,3.249155
n,j,3.291304
n,k,3.172307
n,l,3.328694
n,m,3.288759
n,n,2.748007
n,o,3.229743
n,p,3.205155
n,r,3.329680
n,s,3.202872
n,t,3.137533
n,u,3.239041
n,v,3.395096
n,y,3.189438
n,ä,3.195255
n,ö,3.380160
o,a,3.258298
o,b,3.255172
o,d,3.419256
o,e,3.240868
o,f,3.205738
o,g,3.272223
