letter_a,letter_b,distance
a,a,3.250476
a,b,3.082250
a,d,3.406052
a,e,3.676489
a,f,3.117098
a,g,2.949738
a,h,3.592921
a,i,3.714628
a,j,3.610321
a,k,3.583063
a,l,3.751713
a,m,3.684641
a,n,3.793465
a,o,3.625497
a,p,3.583759
a,r,3.753823
a,s,3.832331
a,t,3.840246
a,u,3.584242
a,v,3.757846
a,y,3.615482
a,ä,3.700181
a,ö,3.451825
b,a,3.082250
b,b,1.225463
b,d,2.205507
b,e,3.020350
b,f,1.585529
b,g,1.482751
b,h,2.607191
b,i,3.044077
b,j,2.640875
b,k,2.717031
b,l,2.798991
b,m,2.814214
b,n,3.069879
b,o,2.911915
b,p,2.554623
b,r,2.759777
b,s,2.960752
b,t,2.980413
b,u,2.967784
b,v,2.836149
b,y,2.814628
b,ä,3.034831
b,ö,2.456720
d,a,3.406052
d,b,2.205507
d,d,2.199409
d,e,3.349365
d,f,2.257648
d,g,2.159151
d,h,3.027749
d,i,3.432653
d,j,3.106485
d,k,3.184078
d,l,3.263740
d,m,3.242296
d,n,3.413858
d,o,3.305029
d,p,3.006460
d,r,3.218399
d,s,3.392664
d,t,3.437956
d,u,3.297205
d,v,3.273144
d,y,3.157860
d,ä,3.338224
d,ö,2.934902
e,a,3.676489
e,b,3.020350
e,d,3.349365
e,e,3.155752
e,f,3.039109
e,g,2.914883
e,h,3.517185
e,i,3.708228
e,j,3.560211
e,k,3.602642
e,l,3.702802
e,m,3.666768
e,n,3.850714
e,o,3.591435
e,p,3.559052
e,r,3.736942
e,s,3.772534
e,t,3.837219
e,u,3.597117
e,v,3.719280
e,y,3.496678
e,ä,3.602082
e,ö,3.452458
f,a,3.117098
f,b,1.585529
f,d,2.257648
f,e,3.039109
f,f,1.372002
f,g,1.554242
f,h,2.565942
f,i,3.037898
f,j,2.673007
f,k,2.707984
f,l,2.826261
f,m,2.837688
f,n,3.128188
f,o,2.934949
f,p,2.599851
f,r,2.825143
f,s,3.019539
f,t,3.101307
f,u,2.955884
f,v,2.861268
f,y,2.796269
f,ä,3.034330
f,ö,2.477736
g,a,2.949738
g,b,1.482751
g,d,2.159151
g,e,2.914883
g,f,1.554242
g,g,1.209145
g,h,2.541968
g,i,2.990521
g,j,2.617711
g,k,2.643146
g,l,2.828800
g,m,2.791108
g,n,3.060223
g,o,2.884746
g,p,2.531807
g,r,2.783322
g,s,3.034001
g,t,3.010628
g,u,2.846431
g,v,2.838892
g,y,2.694102
g,ä,2.907752
g,ö,2.402350
h,a,3.592921
h,b,2.607191
h,d,3.027749
h,e,3.517185
h,f,2.565942
h,g,2.541968
h,h,2.737920
h,i,3.561111
h,j,3.239058
h,k,3.274271
h,l,3.379099
h,m,3.332917
h,n,3.612700
h,o,3.480232
h,p,3.157167
h,r,3.408388
h,s,3.510413
h,t,3.549841
h,u,3.489562
h,v,3.363957
h,y,3.332166
h,ä,3.515925
h,ö,3.090293
i,a,3.714628
i,b,3.044077
i,d,3.432653
i,e,3.708228
i,f,3.037898
i,g,2.990521
i,h,3.561111
i,i,3.251434
i,j,3.593928
i,k,3.608920
i,l,3.707854
i,m,3.660928
i,n,3.840917
i,o,3.678908
i,p,3.547679
i,r,3.706749
i,s,3.777918
i,t,3.857367
i,u,3.640402
i,v,3.761936
i,y,3.544230
i,ä,3.669257
i,ö,3.394270
j,a,3.610321
j,b,2.640875
