letter_a,letter_b,distance
a,a,2.935364
a,b,3.485182
a,c,3.627400
a,d,3.635984
a,e,3.796479
a,f,3.553851
a,g,3.502408
a,h,3.426314
a,i,3.497051
a,j,3.124768
a,k,2.816380
a,l,3.683147
a,m,3.562099
a,n,3.678395
a,o,3.479772
a,p,3.518826
a,q,3.223816
a,r,3.806963
a,s,3.617456
a,t,3.690428
a,u,3.530747
a,v,3.461293
a,w,2.736342
a,x,3.368016
a,y,3.084101
a,z,2.968878
a,à,2.671384
a,â,2.828447
a,ç,2.725949
a,è,3.098182
a,é,3.656639
a,ê,2.978007
a,î,2.724208
a,ï,2.680955
a,ô,2.814237
a,û,2.790557
a,ü,2.643051
b,a,3.485182
b,b,2.769104
b,c,3.474022
b,d,3.534004
b,e,3.896839
b,f,3.365848
b,g,3.489828
b,h,3.215953
b,i,3.556251
b,j,2.981100
b,k,2.755772
b,l,3.541031
b,m,3.394836
b,n,3.549258
b,o,3.520079
b,p,3.348990
b,q,3.013631
b,r,3.684170
b,s,3.501128
b,t,3.663604
b,u,3.559800
b,v,3.464836
b,w,2.564084
b,x,3.319966
b,y,2.967637
b,z,2.823729
b,à,2.496753
b,â,2.711293
b,ç,2.561760
b,è,2.921427
b,é,3.782076
b,ê,2.787052
b,î,2.550179
b,ï,2.567505
b,ô,2.723919
b,û,2.517291
b,ü,2.463370
c,a,3.627400
c,b,3.474022
c,c,3.068926
c,d,3.613991
c,e,3.968458
c,f,3.483933
c,g,3.566619
c,h,3.409211
c,i,3.654417
c,j,3.054789
c,k,2.971281
c,l,3.623555
c,m,3.516834
c,n,3.672135
c,o,3.642361
c,p,3.444161
c,q,3.217186
c,r,3.764372
c,s,3.608648
c,t,3.706046
c,u,3.667275
c,v,3.421008
c,w,2.787104
c,x,3.431092
c,y,3.202816
c,z,3.101131
c,à,2.728260
c,â,2.904293
c,ç,2.825373
c,è,3.143238
c,é,3.860271
c,ê,2.941456
c,î,2.727705
c,ï,2.765501
c,ô,2.858236
c,û,2.813489
c,ü,2.716375
d,a,3.635984
d,b,3.534004
d,c,3.613991
d,d,3.013731
d,e,4.013688
d,f,3.477696
d,g,3.593944
d,h,3.422507
d,i,3.640019
d,j,3.163451
d,k,2.963781
d,l,3.746334
d,m,3.464676
d,n,3.634309
d,o,3.659906
d,p,3.512604
d,q,3.264618
d,r,3.746292
d,s,3.677680
d,t,3.754571
d,u,3.617840
d,v,3.542109
d,w,2.862570
d,x,3.469240
d,y,3.158387
d,z,2.982568
d,à,2.803001
d,â,3.054364
d,ç,2.894127
d,è,3.127432
d,é,3.799372
d,ê,2.968237
d,î,2.834678
d,ï,2.867782
d,ô,2.961778
d,û,2.918506
d,ü,2.803929
e,a,3.796479
e,b,3.896839
e,c,3.968458
e,d,4.013688
e,e,3.435944
e,f,3.885509
e,g,3.935514
e,h,3.798221
e,i,3.830234
e,j,3.557908
e,k,3.369947
e,l,4.044517
e,m,3.900827
e,n,3.984505
e,o,3.873466
e,p,3.922118
e,q,3.624281
e,r,4.112944
e,s,3.911059
e,t,4.068235
e,u,3.994194
e,v,3.860107
e,w,3.278788
e,x,3.795012
e,y,3.520241
e,z,3.500761
e,à,3.176386
e,â,3.284768
e,ç,3.268135
e,è,3.555276
e,é,3.873185
e,ê,3.393301
e,î,3.276049
e,ï,3.257727
e,ô,3.314380
e,û,3.341126
e,ü,3.191916
f,a,3.553851
f,b,3.365848
f,c,3.483933
f,d,3.477696
f,e,3.885509
f,f,2.768058
f,g,3.478662
f,h,3.290710
f,i,3.559649
f,j,3.111080
f,k,2.736183
f,l,3.549797
f,m,3.355295
f,n,3.570628
f,o,3.543282
f,p,3.404847
f,q,3.203672
f,r,3.695093
f,s,3.544808
f,t,3.617164
f,u,3.577025
f,v,3.363166
f,w,2.687689
f,x,3.255249
f,y,3.097696
f,z,2.851118
f,à,2.618260
f,â,2.760384
f,ç,2.709445
f,è,2.963079
f,é,3.762841
f,ê,2.867509
f,î,2.681925
f,ï,2.635399
f,ô,2.779161
f,û,2.645451
f,ü,2.581363
g,a,3.502408
g,b,3.489828
g,c,3.566619
g,d,3.593944
g,e,3.935514
g,f,3.478662
g,g,2.914238
g,h,3.388860
g,i,3.608622
g,j,3.044013
g,k,2.913981
g,l,3.573354
g,m,3.504942
g,n,3.602534
g,o,3.566733
g,p,3.435181
g,q,3.136598
g,r,3.785502
g,s,3.635325
g,t,3.716926
g,u,3.592774
g,v,3.494875
g,w,2.782184
g,x,3.333098
g,y,3.103933
g,z,2.894540
g,à,2.675861
g,â,2.851232
g,ç,2.738956
g,è,3.002460
g,é,3.766158
g,ê,2.924320
g,î,2.720404
g,ï,2.658224
g,ô,2.764844
g,û,2.759650
g,ü,2.643155
h,a,3.426314
h,b,3.215953
h,c,3.409211
h,d,3.422507
h,e,3.798221
h,f,3.290710
h,g,3.388860
h,h,2.586763
h,i,3.426275
h,j,2.942851
h,k,2.741937
h,l,3.495505
h,m,3.300799
h,n,3.436621
h,o,3.435654
h,p,3.314445
h,q,3.002502
h,r,3.605379
h,s,3.507360
h,t,3.564070
h,u,3.494966
h,v,3.323112
h,w,2.501009
h,x,3.151370
h,y,2.973559
h,z,2.757665
h,à,2.416618
h,â,2.539713
h,ç,2.505877
h,è,2.848497
h,é,3.673327
h,ê,2.601521
h,î,2.503158
h,ï,2.488062
h,ô,2.546318
h,û,2.457005
h,ü,2.382440
i,a,3.497051
i,b,3.556251
i,c,3.654417
i,d,3.640019
i,e,3.830234
i,f,3.559649
i,g,3.608622
i,h,3.426275
i,i,2.989085
i,j,3.174219
i,k,2.885891
i,l,3.642345
i,m,3.505479
i,n,3.688520
i,o,3.561588
i,p,3.499190
i,q,3.171038
i,r,3.814374
i,s,3.633940
i,t,3.777861
i,u,3.609575
i,v,3.515477
i,w,2.752417
i,x,3.408395
i,y,3.288324
i,z,3.042729
i,à,2.708588
i,â,2.836329
i,ç,2.796192
i,è,3.149595
i,é,3.733827
i,ê,2.963289
i,î,2.804634
i,ï,2.747382
i,ô,2.865186
i,û,2.879437
i,ü,2.680388
j,a,3.124768
j,b,2.981100
j,c,3.054789
j,d,3.163451
j,e,3.557908
j,f,3.111080
j,g,3.044013
j,h,2.942851
j,i,3.174219
j,j,1.888122
j,k,2.196338
j,l,3.139047
j,m,3.003742
j,n,3.091868
j,o,3.095153
j,p,3.013961
j,q,2.417771
j,r,3.313907
j,s,3.114356
j,t,3.207847
j,u,3.054450
j,v,3.020506
j,w,1.947497
j,x,2.835802
j,y,2.486467
j,z,2.315753
j,à,1.872563
j,â,2.153072
j,ç,1.996338
j,è,2.465937
j,é,3.322325
j,ê,2.136373
j,î,1.858551
j,ï,1.875453
