position_a,position_b,distance
1,2,2.281384
1,3,2.380380
1,4,2.892274
1,5,3.125847
1,6,3.175538
1,7,2.423841
1,8,3.629217
1,9,3.444057
1,10,3.494628
1,11,3.386651
1,12,3.528355
1,13,3.378855
2,1,2.281384
2,3,2.425866
2,4,2.628417
2,5,3.443249
2,6,2.836929
2,7,2.908922
2,8,3.206563
2,9,3.728828
2,10,3.520478
2,11,3.719598
2,12,3.442312
2,13,3.737514
3,1,2.380380
3,2,2.425866
3,4,2.685534
3,5,2.717332
3,6,3.092845
3,7,2.662042
3,8,3.010029
3,9,3.124847
3,10,3.629683
3,11,3.491405
3,12,3.636739
3,13,3.438713
4,1,2.892274
4,2,2.628417
4,3,2.685534
4,5,2.422616
4,6,2.406950
4,7,2.662052
4,8,2.665155
4,9,2.733809
4,10,2.709270
4,11,3.589843
4,12,3.382922
4,13,3.632988
5,1,3.125847
5,2,3.443249
5,3,2.717332
5,4,2.422616
5,6,2.668392
5,7,2.558813
5,8,2.693377
5,9,1.938385
5,10,2.950324
5,11,3.170196
5,12,3.727247
5,13,3.441840
6,1,3.175538
6,2,2.836929
6,3,3.092845
6,4,2.406950
6,5,2.668392
6,7,2.312606
6,8,2.248165
6,9,2.691551
6,10,2.734917
6,11,3.156728
6,12,2.931938
6,13,3.456229
7,1,2.423841
7,2,2.908922
7,3,2.662042
7,4,2.662052
7,5,2.558813
7,6,2.312606
7,8,2.412887
7,9,2.342304
7,10,2.483065
7,11,2.440796
7,12,2.570180
7,13,2.369461
8,1,3.629217
8,2,3.206563
8,3,3.010029
8,4,2.665155
8,5,2.693377
8,6,2.248165
8,7,2.412887
8,9,2.310611
8,10,2.660158
8,11,3.196767
8,12,2.946856
8,13,3.221950
9,1,3.444057
9,2,3.728828
9,3,3.124847
9,4,2.733809
9,5,1.938385
9,6,2.691551
9,7,2.342304
9,8,2.310611
9,10,2.141199
9,11,2.607627
9,12,3.148125
9,13,3.025485
10,1,3.494628
10,2,3.520478
10,3,3.629683
10,4,2.709270
10,5,2.950324
10,6,2.734917
10,7,2.483065
10,8,2.660158
10,9,2.141199
10,11,2.275653
10,12,2.529660
10,13,2.877112
11,1,3.386651
11,2,3.719598
11,3,3.491405
11,4,3.589843
11,5,3.170196
11,6,3.156728
11,7,2.440796
11,8,3.196767
11,9,2.607627
11,10,2.275653
11,12,2.371996
11,13,2.357595
12,1,3.528355
12,2,3.442312
12,3,3.636739
12,4,3.382922
12,5,3.727247
12,6,2.931938
12,7,2.570180
12,8,2.946856
12,9,3.148125
12,10,2.529660
12,11,2.371996
12,13,2.234609
13,1,3.378855
13,2,3.737514
13,3,3.438713
13,4,3.632988
13,5,3.441840
13,6,3.456229
13,7,2.369461
13,8,3.221950
13,9,3.025485
13,10,2.877112
13,11,2.357595
13,12,2.234609
