position_a,position_b,distance
1,2,2.706736
1,3,2.976324
1,4,3.208386
1,5,3.126376
1,6,2.852237
1,7,2.424721
1,8,3.611908
1,9,3.512782
1,10,3.353092
1,11,3.169282
1,12,3.185378
1,13,2.890039
2,1,2.706736
2,3,2.950244
2,4,3.216047
2,5,3.296860
2,6,2.764258
2,7,2.584491
2,8,3.012863
2,9,3.924749
2,10,3.403836
2,11,3.320421
2,12,3.118847
2,13,3.003045
3,1,2.976324
3,2,2.950244
3,4,3.033780
3,5,3.075238
3,6,3.193078
3,7,2.722980
3,8,3.067484
3,9,3.220334
3,10,3.835171
3,11,3.564406
3,12,3.437128
3,13,3.153553
4,1,3.208386
4,2,3.216047
4,3,3.033780
4,5,2.939473
4,6,2.993935
4,7,2.830830
4,8,2.926174
4,9,3.045170
4,10,3.072409
4,11,3.860478
4,12,3.378559
4,13,3.170458
5,1,3.126376
5,2,3.296860
5,3,3.075238
5,4,2.939473
5,6,2.648697
5,7,2.566023
5,8,2.986754
5,9,2.782236
5,10,3.014746
5,11,3.001296
5,12,3.575417
5,13,3.086471
6,1,2.852237
6,2,2.764258
6,3,3.193078
6,4,2.993935
6,5,2.648697
6,7,2.238777
6,8,2.722056
6,9,3.061525
6,10,2.831342
6,11,2.785011
6,12,2.788442
6,13,2.943233
7,1,2.424721
7,2,2.584491
7,3,2.722980
7,4,2.830830
7,5,2.566023
7,6,2.238777
7,8,2.388307
7,9,2.723224
7,10,2.635895
7,11,2.500899
7,12,2.409302
7,13,2.096364
8,1,3.611908
8,2,3.012863
8,3,3.067484
8,4,2.926174
8,5,2.986754
8,6,2.722056
8,7,2.388307
8,9,2.619636
8,10,2.771288
8,11,3.106230
8,12,2.762344
8,13,2.721307
9,1,3.512782
9,2,3.924749
9,3,3.220334
9,4,3.045170
9,5,2.782236
9,6,3.061525
9,7,2.723224
9,8,2.619636
9,10,2.730504
9,11,3.091466
9,12,3.163145
9,13,3.013412
10,1,3.353092
10,2,3.403836
10,3,3.835171
10,4,3.072409
10,5,3.014746
10,6,2.831342
10,7,2.635895
10,8,2.771288
10,9,2.730504
10,11,2.696246
10,12,2.794701
10,13,2.779224
11,1,3.169282
11,2,3.320421
11,3,3.564406
11,4,3.860478
11,5,3.001296
11,6,2.785011
11,7,2.500899
11,8,3.106230
11,9,3.091466
11,10,2.696246
11,12,2.543953
11,13,2.709793
12,1,3.185378
12,2,3.118847
12,3,3.437128
12,4,3.378559
12,5,3.575417
12,6,2.788442
12,7,2.409302
12,8,2.762344
12,9,3.163145
12,10,2.794701
12,11,2.543953
12,13,2.383272
13,1,2.890039
13,2,3.003045
13,3,3.153553
13,4,3.170458
13,5,3.086471
13,6,2.943233
13,7,2.096364
13,8,2.721307
13,9,3.013412
13,10,2.779224
13,11,2.709793
13,12,2.383272
