position_a,position_b,distance
1,2,2.224767
1,3,2.176009
1,4,2.588908
1,5,2.425634
1,6,2.485433
1,7,2.037746
1,8,2.943278
1,9,2.766208
1,10,2.835794
1,11,2.612174
1,12,2.535459
1,13,2.254680
2,1,2.224767
2,3,2.391114
2,4,2.451357
2,5,2.743635
2,6,2.281004
2,7,2.311043
2,8,2.539158
2,9,3.192569
2,10,2.864835
2,11,2.865614
2,12,2.480301
2,13,2.558514
3,1,2.176009
3,2,2.391114
3,4,2.481234
3,5,2.274443
3,6,2.560705
3,7,2.272983
3,8,2.657215
3,9,2.641948
3,10,3.150393
3,11,2.820886
3,12,2.818281
3,13,2.576047
4,1,2.588908
4,2,2.451357
4,3,2.481234
4,5,2.366169
4,6,2.284666
4,7,2.346996
4,8,2.360817
4,9,2.626364
4,10,2.535453
4,11,3.136961
4,12,2.828806
4,13,2.693735
5,1,2.425634
5,2,2.743635
5,3,2.274443
5,4,2.366169
5,6,2.079175
5,7,2.033625
5,8,2.498286
5,9,2.205425
5,10,2.652830
5,11,2.535207
5,12,2.982742
5,13,2.617365
6,1,2.485433
6,2,2.281004
6,3,2.560705
6,4,2.284666
6,5,2.079175
6,7,1.834044
6,8,2.078236
6,9,2.521492
6,10,2.384125
6,11,2.542017
6,12,2.421307
6,13,2.541336
7,1,2.037746
7,2,2.311043
7,3,2.272983
7,4,2.346996
7,5,2.033625
7,6,1.834044
7,8,2.006324
7,9,2.119226
7,10,2.272767
7,11,2.165328
7,12,2.185855
7,13,1.947772
8,1,2.943278
8,2,2.539158
8,3,2.657215
8,4,2.360817
8,5,2.498286
8,6,2.078236
8,7,2.006324
8,9,2.257101
8,10,2.210552
8,11,2.583578
8,12,2.390354
8,13,2.415692
9,1,2.766208
9,2,3.192569
9,3,2.641948
9,4,2.626364
9,5,2.205425
9,6,2.521492
9,7,2.119226
9,8,2.257101
9,10,2.241255
9,11,2.311336
9,12,2.684430
9,13,2.467997
10,1,2.835794
10,2,2.864835
10,3,3.150393
10,4,2.535453
10,5,2.652830
10,6,2.384125
10,7,2.272767
10,8,2.210552
10,9,2.241255
10,11,2.264808
10,12,2.318855
10,13,2.426386
11,1,2.612174
11,2,2.865614
11,3,2.820886
11,4,3.136961
11,5,2.535207
11,6,2.542017
11,7,2.165328
11,8,2.583578
11,9,2.311336
11,10,2.264808
11,12,2.166273
11,13,2.162163
12,1,2.535459
12,2,2.480301
12,3,2.818281
12,4,2.828806
12,5,2.982742
12,6,2.421307
12,7,2.185855
12,8,2.390354
12,9,2.684430
12,10,2.318855
12,11,2.166273
12,13,1.908862
13,1,2.254680
13,2,2.558514
13,3,2.576047
13,4,2.693735
13,5,2.617365
13,6,2.541336
13,7,1.947772
13,8,2.415692
13,9,2.467997
13,10,2.426386
13,11,2.162163
13,12,1.908862
