word,neighbours,old20_mean,old20_sd,spread,uniqueness_point
kkoyöjy,0,4.700000,0.571241,0,3
ogghrul,0,4.650000,0.489360,0,3
hahioyn,0,4.900000,0.307794,0,3
eutvgyl,0,4.600000,0.502625,0,3
rirsövb,0,4.550000,0.510418,0,3
jdohrde,0,4.750000,0.444262,0,3
lrdmgsd,0,4.650000,0.587143,0,3
bnkovti,0,4.700000,0.470162,0,3
dkkelyn,0,4.700000,0.571241,0,3
elkmrlu,0,4.550000,0.604805,0,3
bydnorg,0,4.750000,0.444262,0,3
pbudoby,0,4.650000,0.489360,0,3
ehbmryd,0,4.600000,0.502625,0,4
srrgdrh,0,4.600000,0.502625,0,4
ybhnyrp,0,4.500000,0.606977,0,3
otubbäf,0,4.600000,0.598243,0,4
hpfjryo,0,4.500000,0.512989,0,3
spfäyhf,0,4.800000,0.410391,0,3
bmööunu,0,4.800000,0.410391,0,3
dibvfls,0,4.700000,0.470162,0,3
sdöjhov,0,4.900000,0.307794,0,3
gtoteoi,0,4.800000,0.410391,0,3
gpfoois,0,4.650000,0.489360,0,3
okapbuk,0,4.650000,0.489360,0,4
ässävgg,0,4.850000,0.366348,0,3
gkjynmh,0,4.550000,0.510418,0,3
intaväö,0,4.750000,0.550120,0,4
buvlähf,0,4.900000,0.307794,0,3
skdkmäh,0,4.700000,0.470162,0,3
elngffo,0,4.600000,0.598243,0,3
bmftemd,0,4.400000,0.598243,0,3
ffjvodl,0,4.300000,0.732695,0,3
dfärgab,0,4.450000,0.510418,0,3
rlhsöjt,0,4.650000,0.587143,0,3
riegjvf,0,4.600000,0.598243,0,3
vovräij,0,4.450000,0.686333,0,3
jäspmdt,0,4.600000,0.502625,0,4
mketfss,0,4.650000,0.489360,0,3
räyfdmp,0,4.350000,0.489360,0,4
grgovka,0,4.900000,0.307794,0,3
tvräudj,0,4.500000,0.512989,0,3
blppaju,0,4.700000,0.470162,0,3
nkpmärs,0,4.450000,0.604805,0,3
raäuihb,0,4.900000,0.307794,0,3
äeöfiyu,0,4.700000,0.470162,0,3
ijlrppt,0,4.700000,0.470162,0,3
mäfbdmä,0,4.500000,0.606977,0,3
tvtjfmp,0,4.600000,0.502625,0,3
ellifhh,0,4.900000,0.307794,0,3
nryfslä,0,4.700000,0.470162,0,3
öpjlntm,0,4.400000,0.680557,0,3
irepfrm,0,4.800000,0.410391,0,3
nefrarl,0,4.750000,0.550120,0,3
mbutbie,0,4.400000,0.598243,0,3
hjkhyly,0,4.800000,0.410391,0,3
jvsggse,0,4.500000,0.512989,0,4
ykpgkdr,0,4.550000,0.604805,0,4
kupidoä,0,4.300000,0.656947,0,4
devämup,0,4.750000,0.444262,0,3
ijuomvt,0,4.700000,0.470162,0,3
phrhhds,0,4.600000,0.502625,0,3
piäsvil,0,4.750000,0.444262,0,3
tgeyehv,0,4.500000,0.512989,0,3
gevfmju,0,4.550000,0.604805,0,3
euhgimr,0,4.700000,0.470162,0,3
llrkhdu,0,4.700000,0.470162,0,3
jttjseä,0,4.800000,0.410391,0,3
mrhpört,0,4.500000,0.512989,0,3
dpmjpby,0,4.500000,0.606977,0,3
shätkof,0,4.400000,0.502625,0,4
bksrnpl,0,4.850000,0.366348,0,3
fdnföre,0,4.600000,0.502625,0,3
hvtshov,0,4.650000,0.489360,0,3
räpovhg,0,4.600000,0.502625,0,4
tgifbds,0,4.550000,0.510418,0,3
uetfsio,0,4.600000,0.502625,0,4
rtsgkhi,0,4.600000,0.502625,0,3
buypngy,0,4.900000,0.307794,0,3
kpvsldr,0,4.650000,0.489360,0,4
gdikumf,0,4.650000,0.587143,0,3
spdopie,0,4.450000,0.604805,0,3
vshyijf,0,4.600000,0.598243,0,3
ftiutny,0,4.700000,0.470162,0,4
hkgätae,0,4.650000,0.587143,0,3
räfbkir,0,4.600000,0.753937,0,3
ypbofky,0,4.650000,0.489360,0,3
egtlkne,0,4.550000,0.510418,0,3
msugsfm,0,4.650000,0.489360,0,3
ekpabhe,0,4.550000,0.510418,0,4
yttaäpi,0,4.900000,0.307794,0,3
