word,neighbours,old20_mean,old20_sd,spread,uniqueness_point
aaltola,0,2.800000,0.410391,0,3
aamulla,0,2.850000,0.366348,0,5
aamusta,0,2.800000,0.410391,0,5
afrikan,0,3.700000,0.571241,0,2
aidosti,0,3.550000,0.510418,0,3
aiemman,2,2.700000,0.656947,2,7
aiemmat,1,3.300000,0.864505,1,7
aiemmin,1,2.950000,0.686333,1,6
aiempaa,1,3.300000,0.864505,1,6
aiempia,1,3.400000,0.882580,1,6
aiheena,1,3.000000,0.858395,1,5
aiheina,2,2.800000,0.894427,2,6
aiheita,4,2.300000,0.801315,3,6
aihetta,3,2.400000,0.753937,2,5
aiheuta,2,2.800000,0.894427,1,5
aikamme,0,3.600000,0.680557,0,5
aikansa,0,3.100000,0.552506,0,5
aikoina,0,2.850000,0.489360,0,5
aikojen,2,2.600000,0.680557,2,5
aikovat,0,3.100000,0.640723,0,5
ainakin,0,3.450000,0.686333,0,4
aineita,2,2.350000,0.670820,2,5
ainetta,2,2.500000,0.688247,2,5
ainoana,0,3.450000,0.604805,0,4
aiotaan,0,2.550000,0.510418,0,3
aivojen,2,2.500000,0.688247,2,3
ajamaan,0,2.700000,0.470162,0,3
ajetaan,1,2.350000,0.587143,1,3
ajoilta,2,2.900000,0.911910,2,5
ajoissa,1,2.700000,0.571241,1,6
ajoista,2,2.600000,0.680557,2,6
akselin,0,3.700000,0.470162,0,3
akuutti,0,3.550000,0.510418,0,3
alainen,0,2.750000,0.444262,0,4
alataan,2,2.500000,0.688247,2,6
alatalo,0,3.550000,0.686333,0,6
aleksis,0,3.750000,0.444262,0,4
alennus,1,3.500000,0.827170,1,5
alentaa,1,2.900000,0.718185,1,5
aletaan,2,2.150000,0.587143,2,4
alkaisi,0,3.450000,0.604805,0,5
alkanut,0,3.100000,0.552506,0,5
alkavan,1,2.800000,0.523148,1,7
alkavat,1,2.650000,0.587143,1,7
alkunsa,0,3.750000,0.550120,0,4
aloilla,2,2.700000,0.656947,2,7
aloille,1,2.850000,0.489360,1,7
aloilta,2,2.550000,0.686333,2,6
aloitin,0,2.850000,0.366348,0,6
aloitti,0,2.800000,0.410391,0,6
aloitus,0,3.100000,0.718185,0,6
alueita,1,2.750000,0.550120,1,5
aluetta,1,2.750000,0.550120,1,5
aluksen,0,3.550000,0.510418,0,4
ammatin,0,3.750000,0.550120,0,6
ammatti,0,3.800000,0.523148,0,6
aneista,0,2.800000,0.410391,0,3
annamme,0,3.600000,0.680557,0,4
annettu,0,3.000000,0.561951,0,6
annetun,1,3.650000,0.812728,1,7
annetut,1,3.650000,0.812728,1,7
anniina,0,3.450000,0.510418,0,5
annikki,0,3.400000,0.753937,0,5
annosta,0,2.850000,0.366348,0,4
annukka,0,3.650000,0.587143,0,4
antaisi,0,3.300000,0.656947,0,5
antamaa,2,2.850000,0.745160,1,7
antaman,2,2.600000,0.680557,1,7
antamat,3,2.650000,0.745160,2,7
antanut,0,3.150000,0.812728,0,5
antavat,1,2.500000,0.606977,1,5
anttila,0,3.300000,0.571241,0,4
apuraha,0,3.950000,0.223607,0,2
arimpia,0,3.650000,0.587143,0,3
arjessa,1,3.250000,0.716350,1,6
arjesta,1,2.850000,0.489360,1,6
arkisin,0,3.300000,0.732695,0,6
arkisto,0,3.600000,0.598243,0,6
armeija,0,3.600000,0.502625,0,3
artturi,0,3.550000,0.686333,0,3
arvelee,0,3.700000,0.571241,0,4
arvojen,1,2.750000,0.550120,1,5
arvokas,0,3.550000,0.510418,0,5
arvolta,1,2.900000,0.447214,1,5
arvomme,0,3.400000,0.502625,0,5
arvosta,1,2.750000,0.550120,1,5
aseiden,1,3.300000,0.732695,1,4
asemaan,1,2.600000,0.598243,1,4
asennus,1,3.400000,0.820783,1,5
asentaa,2,2.900000,0.852242,2,5
asettaa,2,2.550000,0.686333,2,6
asettua,2,2.650000,0.670820,2,7
asettuu,1,3.100000,0.718185,1,7
asiakas,0,3.700000,0.470162,0,5
asialla,1,2.600000,0.598243,1,7
asialle,1,2.850000,0.489360,1,7
asiansa,1,3.050000,0.825578,1,5
asiassa,2,2.600000,0.680557,2,6
asiasta,1,2.700000,0.571241,1,6
asioida,1,3.600000,0.753937,1,6
asioita,1,2.850000,0.489360,1,6
astetta,0,2.650000,0.489360,0,3
asumaan,1,2.850000,0.489360,1,4
asuneet,0,2.950000,0.394034,0,5
asunnon,1,3.350000,0.812728,1,7
asunnot,1,3.400000,0.882580,1,7
asuntoa,0,3.200000,0.695852,0,5
asuvien,0,3.350000,0.670820,0,4
aterian,1,2.900000,0.640723,1,7
ateriat,1,3.350000,0.812728,1,7
aulassa,0,2.500000,0.512989,0,4
aulikki,0,3.600000,0.598243,0,4
auraton,0,3.750000,0.444262,0,4
aurinko,0,3.800000,0.410391,0,4
autamme,0,3.450000,0.686333,0,4
autojen,0,2.600000,0.502625,0,5
autolla,0,2.700000,0.470162,0,5
autossa,1,2.700000,0.571241,1,6
autosta,1,2.650000,0.587143,1,6
auvinen,0,2.750000,0.444262,0,3
avaavat,0,2.950000,0.510418,0,4
avaimet,1,3.400000,0.820783,1,4
avannut,0,3.300000,0.571241,0,4
avarrus,0,3.750000,0.444262,0,4
avataan,1,2.550000,0.604805,1,4
avautui,1,3.600000,0.753937,1,7
avautuu,1,3.500000,0.760886,1,7
avioero,0,4.600000,0.502625,0,3
avoimen,1,2.800000,0.523148,1,7
avoimet,2,3.300000,0.978721,2,7
avoimia,0,2.900000,0.552506,0,6
avoinna,1,3.300000,0.801315,1,6
avointa,1,2.700000,0.571241,1,6
avustaa,0,2.850000,0.366348,0,6
avustus,0,3.450000,0.686333,0,6
baltian,0,2.850000,0.366348,0,2
belgian,0,3.850000,0.489360,0,3
betonin,0,3.500000,0.606977,0,3
bonusta,0,2.800000,0.410391,0,2
brändin,0,3.850000,0.366348,0,2
dollari,0,3.850000,0.366348,0,1
edennyt,0,3.700000,0.656947,0,4
edetään,1,3.200000,0.767772,1,4
edistää,0,2.950000,0.223607,0,3
eduista,0,2.950000,0.223607,0,4
edustaa,0,2.800000,0.410391,0,6
edustus,0,3.500000,0.688247,0,6
egyptin,0,3.950000,0.223607,0,2
ehditty,0,3.650000,0.587143,0,4
ehdokas,0,3.750000,0.966546,0,5
ehdolla,1,2.850000,0.489360,1,7
ehdolle,1,3.150000,0.812728,1,7
ehdoton,0,3.550000,0.686333,0,6
ehdotti,0,3.300000,0.801315,0,6
ehdotus,0,3.300000,0.801315,0,6
ehkäisy,0,4.450000,0.510418,0,3
ehtinyt,0,3.650000,0.587143,0,5
ehtivät,0,3.100000,0.718185,0,5
ehtojen,0,2.850000,0.366348,0,4
eiköhän,0,4.000000,0.000000,0,3
eivätkä,0,3.950000,0.223607,0,3
eletään,1,3.000000,0.725476,1,3
eliniän,0,3.700000,0.470162,0,3
ellistä,0,2.850000,0.366348,0,3
elokolo,0,4.150000,0.587143,0,5
elokuun,0,3.700000,0.571241,0,6
elokuva,0,3.750000,0.550120,0,6
eläimen,1,2.950000,0.686333,1,7
eläimet,1,3.450000,0.825578,1,7
eläimiä,0,3.400000,0.680557,0,6
elämäni,0,3.850000,0.489360,0,6
elämään,0,2.900000,0.307794,0,6
enemmän,0,3.300000,0.656947,0,5
enempää,0,3.700000,0.656947,0,5
energia,0,4.100000,0.307794,0,4
ennakoi,0,3.800000,0.410391,0,5
ennalta,0,3.250000,0.444262,0,5
ennuste,0,3.600000,0.502625,0,4
ensiapu,0,4.400000,0.598243,0,5
ensiksi,0,3.200000,0.695852,0,5
entinen,1,2.800000,0.523148,1,5
entisen,2,2.650000,0.670820,2,7
entiset,1,3.000000,0.858395,1,7
entisiä,1,2.900000,0.640723,1,6
entistä,1,2.700000,0.571241,1,6
epäilee,0,3.750000,0.550120,0,6
epäillä,0,3.400000,0.598243,0,6
erkkilä,0,3.650000,0.670820,0,3
eroavat,0,3.550000,0.510418,0,4
erottaa,0,2.800000,0.410391,0,6
erottuu,0,3.450000,0.686333,0,6
eräiden,0,3.250000,0.550120,0,5
eräiksi,0,3.500000,0.688247,0,5
eräissä,1,2.900000,0.640723,1,5
eräässä,1,3.550000,0.825578,1,4
esimies,0,3.800000,0.410391,0,4
esineet,0,3.000000,0.561951,0,4
esittää,0,2.550000,0.510418,0,4
espanja,0,3.950000,0.223607,0,3
esteenä,0,3.600000,0.753937,0,5
esteitä,1,3.350000,0.812728,1,5
estettä,1,3.150000,0.933302,1,5
estävät,1,2.950000,0.944513,1,4
etelään,0,3.300000,0.656947,0,4
etenkin,0,3.550000,0.604805,0,4
etsimme,0,3.600000,0.680557,0,5
etsivät,0,3.350000,0.587143,0,5
etteikö,0,4.050000,0.686333,0,5
ettemme,0,3.650000,0.670820,0,5
etunimi,0,4.150000,0.489360,0,4
etusija,0,3.850000,0.366348,0,4
eurojen,0,2.550000,0.510418,0,5
eurolla,2,2.650000,0.670820,2,7
eurolle,1,2.800000,0.523148,1,7
eurosta,0,2.750000,0.444262,0,5
eversti,0,3.900000,0.307794,0,2
finaali,0,3.950000,0.223607,0,2
foorumi,0,4.850000,0.366348,0,3
formula,0,3.650000,0.489360,0,4
forssan,0,3.500000,0.606977,0,4
frendit,1,4.100000,0.911910,1,2
grammaa,0,3.900000,0.307794,0,1
haapala,0,2.900000,0.307794,0,4
