word,neighbours,old20_mean,old20_sd,spread,uniqueness_point
pouvoir,1,2.550000,0.604805,1,4
vouloir,1,2.750000,0.550120,1,4
prendre,0,2.850000,0.366348,0,5
falloir,0,3.450000,0.686333,0,4
trouver,1,2.600000,0.598243,1,5
laisser,1,2.600000,0.598243,1,4
arriver,1,2.550000,0.604805,1,6
premier,0,2.700000,0.470162,0,4
sembler,0,2.800000,0.410391,0,4
quelque,0,3.450000,0.604805,0,5
devenir,1,3.100000,0.911910,1,4
revenir,2,2.950000,0.887041,2,4
presque,1,2.750000,0.550120,1,5
appeler,0,2.850000,0.366348,0,4
arrêter,0,2.750000,0.444262,0,4
pendant,1,2.650000,0.587143,1,5
chambre,0,3.050000,0.604805,0,5
dernier,0,2.800000,0.410391,0,3
asseoir,0,3.600000,0.598243,0,5
tourner,0,2.550000,0.510418,0,6
instant,0,3.200000,0.615587,0,4
marcher,0,2.650000,0.489360,0,4
silence,0,3.100000,0.640723,0,4
quitter,0,3.050000,0.510418,0,3
écouter,1,2.350000,0.587143,1,5
essayer,1,2.850000,0.489360,1,4
nouveau,0,2.850000,0.366348,0,4
surtout,0,3.700000,0.656947,0,4
pousser,2,2.300000,0.656947,1,6
parfois,0,3.350000,0.745160,0,5
oublier,1,2.600000,0.598243,1,3
souvent,1,2.750000,0.550120,1,4
voiture,1,2.650000,0.587143,1,4
fenêtre,0,3.350000,0.489360,0,3
rentrer,1,2.450000,0.604805,1,6
montrer,1,2.600000,0.598243,1,5
famille,0,2.700000,0.470162,0,3
lumière,0,2.850000,0.366348,0,3
travail,0,3.800000,0.410391,0,5
sourire,1,2.800000,0.523148,1,5
affaire,0,2.900000,0.447214,0,5
travers,0,3.400000,0.502625,0,5
changer,2,2.550000,0.686333,2,5
comment,0,2.800000,0.410391,0,5
général,0,3.950000,0.887041,0,2
plaisir,0,3.300000,0.571241,0,5
glisser,1,2.650000,0.587143,1,3
ajouter,0,2.600000,0.502625,0,3
occuper,0,3.050000,0.510418,0,5
décider,3,2.150000,0.670820,3,5
soudain,0,3.100000,0.640723,0,4
lorsque,0,3.050000,0.510418,0,4
compter,1,2.700000,0.571241,1,5
mauvais,0,3.550000,0.510418,0,4
répéter,1,2.600000,0.598243,1,4
couleur,2,2.400000,0.680557,2,5
journal,0,3.550000,0.686333,0,6
manquer,2,2.650000,0.670820,1,4
semaine,0,3.100000,0.447214,0,4
coucher,4,2.150000,0.745160,1,4
avancer,0,2.800000,0.410391,0,6
oreille,1,2.750000,0.550120,1,3
toucher,5,2.150000,0.812728,2,4
heureux,1,2.900000,0.552506,1,5
certain,0,3.500000,0.688247,0,4
journée,1,3.050000,0.686333,1,6
partout,0,3.300000,0.571241,0,5
envoyer,1,2.800000,0.523148,1,5
bientôt,0,4.300000,0.470162,0,3
ensuite,0,3.350000,0.812728,0,3
frapper,0,2.900000,0.307794,0,4
pleurer,1,2.800000,0.523148,1,3
bonheur,0,2.600000,0.502625,0,4
suffire,0,3.300000,0.470162,0,3
manière,3,2.650000,0.745160,2,4
pencher,1,2.750000,0.550120,1,4
passage,2,2.600000,0.680557,2,6
refuser,0,2.600000,0.502625,0,4
acheter,1,2.900000,0.447214,1,5
exister,0,2.850000,0.366348,0,3
village,2,3.250000,0.966546,1,3
retenir,1,2.950000,0.825578,1,6
service,1,3.100000,0.640723,1,6
présent,0,3.500000,0.606977,0,5
feuille,1,2.550000,0.604805,1,4
endroit,0,3.750000,0.444262,0,4
cuisine,0,3.300000,0.470162,0,5
espérer,0,2.700000,0.470162,0,4
choisir,0,3.500000,0.606977,0,4
couvrir,1,2.600000,0.598243,1,5
puisque,0,3.000000,0.458831,0,3
rapport,0,3.600000,0.598243,0,3
moindre,2,2.500000,0.688247,1,5
exemple,0,4.000000,0.000000,0,4
assurer,1,2.600000,0.598243,1,5
appuyer,0,2.850000,0.366348,0,4
chanter,1,2.700000,0.571241,1,5
relever,0,2.750000,0.444262,0,4
traîner,0,2.850000,0.366348,0,6
hésiter,1,2.500000,0.606977,1,3
charger,2,2.650000,0.670820,2,5
réussir,0,3.350000,0.489360,0,4
seconde,0,3.550000,0.510418,0,5
étonner,0,2.800000,0.410391,0,4
secouer,0,2.900000,0.307794,0,6
allumer,0,2.850000,0.366348,0,4
chaleur,0,2.800000,0.410391,0,5
baisser,1,2.450000,0.604805,1,4
sommeil,0,3.650000,0.489360,0,5
musique,0,2.750000,0.444262,0,5
habiter,0,2.600000,0.502625,0,6
deviner,1,2.650000,0.587143,1,5
étendre,1,2.750000,0.550120,1,6
mémoire,0,3.150000,0.587143,0,3
séparer,1,2.850000,0.489360,1,3
ramener,0,2.850000,0.366348,0,4
ignorer,0,2.950000,0.223607,0,5
combien,0,2.950000,0.604805,0,6
obliger,0,2.950000,0.223607,0,5
immense,0,3.300000,0.656947,0,4
profond,0,3.800000,0.615587,0,5
emmener,0,3.150000,0.670820,0,5
