input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###kkogövy###,kkhgövy,kkoyöjy,0.046780,kkoyöjy,0.046780,0,0
###oighrhl###,ooihrrl,sjihrhh,0.044080,ogghrul,0.003485,0,0
###lahiofn###,lfhiofn,hahioyn,0.016312,hahioyn,0.016312,0,0
###rutvgrl###,rutugrl,eutvgyl,0.022187,eutvgyl,0.022187,0,0
###tirsöab###,tirsaab,tsrögis,0.019291,rirsövb,0.005124,0,0
###jsomrde###,jeorrde,jdohrde,0.161043,jdohrde,0.161043,0,0
###ärdjgsd###,äräjgsd,lrdmgsd,0.079456,lrdmgsd,0.079456,0,0
###bldovti###,bodovii,bnkovti,0.017587,bnkovti,0.017587,0,0
###dkhebyn###,dkbdyyn,dbbyken,0.025881,dkkelyn,0.006204,0,0
###eldmrmu###,elmmräu,elkmrlu,0.064578,elkmrlu,0.064578,0,0
###ägdnorg###,gjdnorg,bydnorg,0.187104,bydnorg,0.187104,0,0
###pbvkoby###,pbpkoky,pbudoby,0.107602,pbudoby,0.107602,0,0
###ehemrid###,ehmmrid,ehbmryd,0.219015,ehbmryd,0.219015,0,0
###srröhrh###,sröödrh,srrgdrh,0.256946,srrgdrh,0.256946,0,0
###ytjnyrp###,ytnnyrp,ybhnyrp,0.030718,ybhnyrp,0.030718,0,0
###otubsgf###,otublff,otubbäf,0.025231,otubbäf,0.025231,0,0
###hpjjuyo###,hjyjoyo,hpfjryo,0.121389,hpfjryo,0.121389,0,0
###söfädhf###,ssfädgf,spfäyhf,0.192866,spfäyhf,0.192866,0,0
###bläöunu###,bhfuänu,bjdäbfu,0.007633,bmööunu,0.006578,0,0
###djbvpls###,djbblls,dvbvpäm,0.016150,dibvfls,0.001917,0,0
###sddshov###,sdddhvv,mdädioy,0.016823,sdöjhov,0.012161,0,0
###gtjtegi###,gjtteti,mjtteag,0.038290,gtoteoi,0.011847,0,0
###gpfomrs###,gpmsrms,gpfoois,0.009593,gpfoois,0.009593,0,0
###oddpbuk###,oddubuk,oppnpko,0.015011,okapbuk,0.002300,0,0
###äsppvgg###,äsppvgg,ässävgg,0.131743,ässävgg,0.131743,0,0
###dkjynnh###,djjjohn,dnjhjun,0.014908,gkjynmh,0.005453,0,0
###intuvoö###,ittuooö,intaväö,0.010955,intaväö,0.010955,0,0
###buvtphf###,bvtvphf,buvlähf,0.006756,buvlähf,0.006756,0,0
###sldlmäh###,slllhäh,skdkmäh,0.008126,skdkmäh,0.008126,0,0
###elggfmo###,elggffo,elngffo,0.127181,elngffo,0.127181,0,0
###ömfteyd###,ömtöeyd,dpftdvf,0.003357,bmftemd,0.000617,0,0
###vfavodl###,vftaddl,vvtrndl,0.023260,ffjvodl,0.004454,0,0
###dfäögob###,dfäföob,dfärgab,0.005302,dfärgab,0.005302,0,0
###rlrköjt###,rlrökjt,rlhsöjt,0.297625,rlhsöjt,0.297625,0,0
###rianjvf###,rinravf,riegjvf,0.059369,riegjvf,0.059369,0,0
###povsäij###,povsiij,äjvsofj,0.008813,vovräij,0.003832,0,0
###ifspmdt###,iimpamt,ipipajy,0.007928,jäspmdt,0.005093,0,0
###mketirs###,mkktkss,mketfss,0.006791,mketfss,0.006791,0,0
###rbyfdep###,rbyfdee,rdpedpe,0.017671,räyfdmp,0.004561,0,0
###jrgovaa###,jrjvgaa,hrjvgnl,0.017678,grgovka,0.010803,0,0
###tvrgbdj###,tvrbbjj,tvräudj,0.040553,tvräudj,0.040553,0,0
###blepagu###,beteagu,bbtiaol,0.008917,blppaju,0.003042,0,0
###udpmärs###,uumräms,shmesys,0.006937,nkpmärs,0.005379,0,0
###raäutub###,rräutub,raäuihb,0.175310,raäuihb,0.175310,0,0
###äeäfiju###,äerfiju,äeöfiyu,0.061235,äeöfiyu,0.061235,0,0
###ijlöpnt###,jijnptt,jijntpn,0.054125,ijlrppt,0.003970,0,0
###mefmdmä###,medmdmä,meämvml,0.042769,mäfbdmä,0.032943,0,0
