input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###kkoyjöy###,kkjjjyy,kkoyöjy,0.027914,kkoyöjy,0.027914,0,0
###ogghurl###,oguhrrl,ogghrul,0.294680,ogghrul,0.294680,0,0
###hahiyon###,haaiyon,hahioyn,0.010427,hahioyn,0.010427,0,0
###eutvygl###,eutvtyl,eutvgyl,0.550287,eutvgyl,0.550287,0,0
###rirsvöb###,rirsvvb,rirsövb,0.558856,rirsövb,0.558856,0,0
###jdohdre###,jdohdre,jdohrde,0.034198,jdohrde,0.034198,0,0
###lrdmsgd###,lrsmggd,lrdmgsd,0.204474,lrdmgsd,0.204474,0,0
###bnkotvi###,nknovvi,bnkovti,0.079131,bnkovti,0.079131,0,0
###dkkeyln###,dkkekln,dkkelyn,0.203777,dkkelyn,0.203777,0,0
###elkmlru###,elkmlru,elkmrlu,0.355302,elkmrlu,0.355302,0,0
###bydnrog###,bdnrrgg,bdigsig,0.006565,bydnorg,0.006040,0,0
###pbudboy###,pbudbby,pbudoby,0.141779,pbudoby,0.141779,0,0
###ehbmyrd###,ehbmryd,ehbmryd,0.893858,ehbmryd,0.893858,0,0
###srrgrdh###,ssrgrdh,ssrardr,0.040511,srrgdrh,0.029180,0,0
###ybhnryp###,ybhnhrp,ybhnyrp,0.456832,ybhnyrp,0.456832,0,0
###otubäbf###,otobfbf,otubbäf,0.043392,otubbäf,0.043392,0,0
###hpfjyro###,hpfjfyo,hpfjryo,0.466808,hpfjryo,0.466808,0,0
###spfähyf###,spääfhf,spfäyhf,0.047237,spfäyhf,0.047237,0,0
###bmöönuu###,bmööuuu,bmööunu,0.351673,bmööunu,0.351673,0,0
###dibvlfs###,dibvlfs,dibvfls,0.288954,dibvfls,0.288954,0,0
###sdöjohv###,sjöjvhv,sjihrhh,0.025407,sdöjhov,0.004870,0,0
###gtotoei###,gtotäoi,gtoteoi,0.075769,gtoteoi,0.075769,0,0
###gpfoios###,gpfoiss,gpfoois,0.148516,gpfoois,0.148516,0,0
###okapubk###,okappbk,okapbuk,0.063986,okapbuk,0.063986,0,0
###ässägvg###,ässvggg,ässävgg,0.213406,ässävgg,0.213406,0,0
###gkjymnh###,gkjynmh,gkjynmh,0.177071,gkjynmh,0.177071,0,0
###intaävö###,ittaaäö,intaväö,0.133740,intaväö,0.133740,0,0
###buvlhäf###,blhlhäf,glörhäf,0.020806,buvlähf,0.003943,0,0
###skdkämh###,skdkämh,skdkmäh,0.148941,skdkmäh,0.148941,0,0
###elngffo###,elngffo,elngffo,0.695344,elngffo,0.695344,1,0
###bmftmed###,btftfem,bmftemd,0.016838,bmftemd,0.016838,0,0
###ffjvdol###,ffjvddl,ffjvodl,0.144058,ffjvodl,0.144058,0,0
###dfäragb###,dfrraab,dfärgab,0.258666,dfärgab,0.258666,0,0
###rlhsjöt###,rlssjjt,rlhsöjt,0.151393,rlhsöjt,0.151393,0,0
###riegvjf###,riegjjf,riegjvf,0.502384,riegjvf,0.502384,0,0
###vovriäj###,voviiäj,vovräij,0.078323,vovräij,0.078323,0,0
###jäspdmt###,jpspdpt,jäspmdt,0.049121,jäspmdt,0.049121,0,0
###mketsfs###,mkftsss,mketfss,0.267919,mketfss,0.267919,0,0
###räyfmdp###,räyfddp,räyfdmp,0.195241,räyfdmp,0.195241,0,0
###grgokva###,grgvvaa,grgovka,0.082916,grgovka,0.082916,0,0
###tvräduj###,trrväuj,tvräudj,0.010721,tvräudj,0.010721,0,0
###blppjau###,blppaju,blppaju,0.519711,blppaju,0.519711,0,0
###nkpmräs###,nkmmäks,nkpmärs,0.106272,nkpmärs,0.106272,0,0
###raäuhib###,raauhhb,raäuihb,0.104404,raäuihb,0.104404,0,0
