input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
######kkoyöjy,kkoyöjy,kkoyöjy,0.882862,kkoyöjy,0.882862,0,0
#####kkoyöjy#,kkoyöjy,kkoyöjy,0.830524,kkoyöjy,0.830524,0,0
####kkoyöjy##,kkoyöjy,kkoyöjy,0.893304,kkoyöjy,0.893304,0,0
###kkoyöjy###,kkoyöjy,kkoyöjy,0.682973,kkoyöjy,0.682973,0,0
##kkoyöjy####,kkoyöjy,kkoyöjy,0.883201,kkoyöjy,0.883201,0,0
#kkoyöjy#####,kkoyöjy,kkoyöjy,0.900836,kkoyöjy,0.900836,0,1
kkoyöjy######,kkoyöjy,kkoyöjy,0.895717,kkoyöjy,0.895717,0,0
######ogghrul,ogghrul,ogghrul,0.917931,ogghrul,0.917931,0,1
#####ogghrul#,ogghrul,ogghrul,0.907612,ogghrul,0.907612,0,1
####ogghrul##,ogghrul,ogghrul,0.897613,ogghrul,0.897613,0,0
###ogghrul###,ogghrul,ogghrul,0.710070,ogghrul,0.710070,0,0
##ogghrul####,ogghrul,ogghrul,0.873076,ogghrul,0.873076,0,0
#ogghrul#####,oggrrul,ogghrul,0.659141,ogghrul,0.659141,0,0
ogghrul######,ogghrul,ogghrul,0.894436,ogghrul,0.894436,0,0
######hahioyn,hahioyn,hahioyn,0.914234,hahioyn,0.914234,0,1
#####hahioyn#,hahioyn,hahioyn,0.913495,hahioyn,0.913495,0,1
####hahioyn##,hahyoyn,hahioyn,0.422164,hahioyn,0.422164,0,0
###hahioyn###,hahioyn,hahioyn,0.832249,hahioyn,0.832249,0,0
##hahioyn####,hahioyn,hahioyn,0.911734,hahioyn,0.911734,0,1
#hahioyn#####,hahioyn,hahioyn,0.914461,hahioyn,0.914461,0,1
hahioyn######,hahioyn,hahioyn,0.920575,hahioyn,0.920575,0,1
######eutvgyl,eutvgyl,eutvgyl,0.891257,eutvgyl,0.891257,0,0
#####eutvgyl#,eutvgyl,eutvgyl,0.915140,eutvgyl,0.915140,0,1
####eutvgyl##,eutvgyl,eutvgyl,0.923717,eutvgyl,0.923717,0,1
###eutvgyl###,eutvgyl,eutvgyl,0.908981,eutvgyl,0.908981,0,1
##eutvgyl####,eutvgyl,eutvgyl,0.900526,eutvgyl,0.900526,0,1
#eutvgyl#####,eutvgyl,eutvgyl,0.917551,eutvgyl,0.917551,0,1
eutvgyl######,eutvgyl,eutvgyl,0.920875,eutvgyl,0.920875,0,1
######rirsövb,rirsövb,rirsövb,0.884612,rirsövb,0.884612,0,0
#####rirsövb#,rirsövb,rirsövb,0.896486,rirsövb,0.896486,0,0
####rirsövb##,rirsövb,rirsövb,0.895385,rirsövb,0.895385,0,0
###rirsövb###,rirsövb,rirsövb,0.930664,rirsövb,0.930664,0,1
##rirsövb####,rirsövb,rirsövb,0.930754,rirsövb,0.930754,0,1
#rirsövb#####,rirsövb,rirsövb,0.879306,rirsövb,0.879306,0,0
rirsövb######,rirsövb,rirsövb,0.932701,rirsövb,0.932701,0,1
######jdohrde,jdohrde,jdohrde,0.623342,jdohrde,0.623342,0,0
#####jdohrde#,jdohrde,jdohrde,0.703986,jdohrde,0.703986,0,0
####jdohrde##,jdohrde,jdohrde,0.846902,jdohrde,0.846902,0,0
###jdohrde###,jdohrde,jdohrde,0.895113,jdohrde,0.895113,0,0
##jdohrde####,jdohrde,jdohrde,0.542003,jdohrde,0.542003,0,0
#jdohrde#####,jdohrde,jdohrde,0.385377,jdohrde,0.385377,0,0
jdohrde######,jdohrde,jdohrde,0.910490,jdohrde,0.910490,0,1
######lrdmgsd,lrdmgsd,lrdmgsd,0.854463,lrdmgsd,0.854463,0,0
