input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
####kkoy#####,kykoyöo,kyiatöe,0.005265,kkoyöjy,0.001259,0,0
####oggh#####,ogihrhg,ngghähm,0.010239,ogghrul,0.003583,0,0
####hahi#####,hnihalv,hhihbvr,0.004514,hahioyn,0.000060,0,0
####eutv#####,tutfeuv,tkifeev,0.012026,eutvgyl,0.000474,0,0
####rirs#####,rsrsriv,rljkrrb,0.002828,rirsövb,0.000587,0,0
####jdoh#####,jdooroh,phiorjh,0.005495,jdohrde,0.000348,0,0
####lrdm#####,ldmflad,lövmlak,0.014186,lrdmgsd,0.001491,0,0
####bnko#####,khbbnom,ghunmpm,0.037908,bnkovti,0.000021,0,0
####dkke#####,kdbföee,ädpsöpk,0.002667,dkkelyn,0.000149,0,0
####elkm#####,klkfmlm,elkmrlu,0.055374,elkmrlu,0.055374,0,0
####bydn#####,bdbnnyd,yduonmy,0.005752,bydnorg,0.000430,0,0
####pbud#####,pdupödb,pdkummu,0.005576,pbudoby,0.000097,0,0
####ehbm#####,eebmnhm,mhjmnhm,0.010512,ehbmryd,0.000308,0,0
####srrg#####,gsbsrlv,gyrrfuv,0.002651,srrgdrh,0.000149,0,0
####ybhn#####,ybbnöjv,sbhnnlb,0.008275,ybhnyrp,0.007887,0,0
####otub#####,toubrju,idufröu,0.011821,otubbäf,0.000527,0,0
####hpfj#####,pdkfpjv,hsbhfjn,0.004986,hpfjryo,0.000019,0,0
####spfä#####,päppfää,pkmppöä,0.010226,spfäyhf,0.000010,0,0
####bmöö#####,beöömjö,gevfmju,0.008496,bmööunu,0.001457,0,0
####dibv#####,ydifövv,oeyfpvv,0.004848,dibvfls,0.000022,0,0
####sdöj#####,sdösööv,sgtsörv,0.023274,sdöjhov,0.003161,0,0
####gtot#####,ggtotak,jgätöbt,0.008405,gtoteoi,0.000404,0,0
####gpfo#####,gopfffo,yvhffby,0.004644,gpfoois,0.001020,0,0
####okap#####,oopppap,llppyfp,0.013314,okapbuk,0.000085,0,0
####ässä#####,ääääsää,ässävgg,0.006659,ässävgg,0.006659,0,0
####gkjy#####,gyhföjv,gevfmju,0.014458,gkjynmh,0.000248,0,0
####inta#####,tninröa,ininrös,0.012825,intaväö,0.000093,0,0
####buvl#####,bdubnlv,bhvpjiv,0.004483,buvlähf,0.000321,0,0
####skdk#####,kdiseök,ksöffis,0.007153,skdkmäh,0.000021,0,0
####elng#####,elbnnlg,sbhnnlb,0.023949,elngffo,0.000081,0,0
####bmft#####,bdhfmtm,bdivmhä,0.001871,bmftemd,0.000070,0,0
####ffjv#####,fdvfnjv,fddgirv,0.013834,ffjvodl,0.000070,0,0
####dfär#####,ddafrrä,fdnföre,0.010646,dfärgab,0.000523,0,0
####rlhs#####,rlhhrlv,hlhkrle,0.005849,rlhsöjt,0.001722,0,0
####rieg#####,glirrlv,rlirrtg,0.012407,riegjvf,0.000028,0,0
####vovr#####,vdvnrov,rovnrlä,0.025456,vovräij,0.001742,0,0
####jäsp#####,jäppögv,lkpätpe,0.002697,jäspmdt,0.000828,0,0
####mket#####,tlmmmev,klfrtee,0.004483,mketfss,0.000003,0,0
####räyf#####,ydrfraf,äräffay,0.003576,räyfdmp,0.000274,0,0
####grgo#####,goiorrg,räpovhg,0.009228,grgovka,0.001783,0,0
####tvrä#####,tävärjä,tänörvh,0.011981,tvräudj,0.000381,0,0
####blpp#####,bbbnplp,pouaplp,0.024847,blppaju,0.000273,0,0
####nkpm#####,pnpmmlm,ghunmpm,0.004975,nkpmärs,0.000179,0,0
####raäu#####,räaarau,irlkrou,0.007423,raäuihb,0.000009,0,0
####äeöf#####,teäfööv,fdnföre,0.013199,äeöfiyu,0.001032,0,0
####ijlr#####,jlirrjl,phiorjh,0.007379,ijlrppt,0.000024,0,0
####mäfb#####,mämfrbb,oäemmöb,0.009246,mäfbdmä,0.000131,0,0
####tvtj#####,tdvttjv,ttyrtgv,0.004156,tvtjfmp,0.000207,0,0
####elli#####,klblmlv,keuftuv,0.009922,ellifhh,0.000054,0,0
####nryf#####,ndyfrro,tdlyrto,0.008762,nryfslä,0.000426,0,0
####öpjl#####,öjppöjl,rlhsöjt,0.003081,öpjlntm,0.000206,0,0
####irep#####,ierpree,ieipjvy,0.017218,irepfrm,0.001904,0,0
####nefr#####,keffneo,äpmfneb,0.009118,nefrarl,0.000120,0,0
####mbut#####,blummlu,idufröu,0.003835,mbutbie,0.000172,0,0
####hjkh#####,hjihrjk,sjihrhh,0.017224,hjkhyly,0.001331,0,0
####jvsg#####,jlvfnsv,jdpbnsr,0.009935,jvsggse,0.001795,0,0
####ykpg#####,ykypöag,yrtpökb,0.015784,ykpgkdr,0.001093,0,0
####kupi#####,kupiris,bfisrms,0.004402,kupidoä,0.002194,0,0
