input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###önughgh###,ögulhgh,pguslgy,0.015563,,,0,0
###gäädöfö###,gäädöpf,lääkduf,0.016602,,,0,0
###kappyea###,kpapypa,rpuiyra,0.012908,,,0,0
###sgrpäkr###,gngräär,ohgrätk,0.015011,,,0,0
###däjvgäl###,dvjlogl,ffjvodl,0.019399,,,0,0
###kdtymäb###,kdtjhäb,gktldäb,0.005981,,,0,0
###hlldkei###,hllkkii,aläpkbi,0.007875,,,0,0
###ävfrkjt###,ävfrkjt,äffssjt,0.020839,,,0,0
###jhdurfy###,jhdurry,jmsudry,0.075971,,,0,0
###flrhävf###,flhäävf,ilrmäof,0.017736,,,0,0
###rsjsiti###,rsislti,rstplis,0.008152,,,0,0
###dyfjlyt###,dyjjltt,dytjiöl,0.008989,,,0,0
###yinhknd###,yinhknd,ihnkhna,0.006140,,,0,0
###rmljguo###,rrjnguo,erjvypo,0.005949,,,0,0
###limbbpö###,limebpö,simrbrr,0.017994,,,0,0
###lppdbdl###,llsdbdl,lppobio,0.012211,,,0,0
###öontrus###,ötnstrs,ibrsmrs,0.012040,,,0,0
###onikkmk###,omikkms,ämikblk,0.010978,,,0,0
###flduyaj###,fuduajj,fpluami,0.014273,,,0,0
###taöyony###,tthoony,tvyjoyo,0.004477,,,0,0
###nkjpnäm###,njkjpöm,kdljpbm,0.008392,,,0,0
###lanarpd###,lnnlapd,lngprkd,0.077267,,,0,0
###gifsyuh###,gisyyuh,ggpybhh,0.012558,,,0,0
###pfgbedb###,pfnbedb,jfhjedb,0.016950,,,0,0
###iatörbg###,iiibrbg,iinbdbm,0.092141,,,0,0
###lkegefs###,lleeefs,ylreeds,0.073161,,,0,0
###dvsrsök###,dvrrsök,rvrrblb,0.006065,,,0,0
###jäyppyn###,jäyppyy,hmygpnf,0.007714,,,0,0
###oäfldhs###,ofohdss,yeohdsp,0.026900,,,0,0
###fgfplki###,fgpplki,räplbki,0.010520,,,0,0
###yvfieky###,yyegeky,ygjueyy,0.026503,,,0,0
###vvijpdh###,vijjjdh,vfhspdg,0.034820,,,0,0
###hnvurul###,hnnulul,uneyduj,0.004170,,,0,0
###pöfbggh###,pöbbfhg,pvyhkhg,0.009817,,,0,0
###iaijkrä###,iiijkrä,oiblkmä,0.012432,,,0,0
###vuiljik###,vulkjkk,vurljmt,0.012963,,,0,0
###rtkaimy###,rmtyiyy,rgryisy,0.005912,,,0,0
###vukimis###,vuusims,vuktikf,0.009975,,,0,0
###nlddmpp###,npmdpdp,lhouppp,0.007905,,,0,0
###mpruoib###,mpmooii,mituoyi,0.006457,,,0,0
###egsakyt###,esaskyt,gspasnt,0.004453,,,0,0
###duämhöä###,dummhöä,dtmvöby,0.018830,,,0,0
###vhmfeys###,vhhfeys,shmesys,0.013063,,,0,0
###hsjvyöm###,hjvvmöp,sgmvyöe,0.008689,,,0,0
###gjspkgk###,ggjpägk,gufpjik,0.012944,,,0,0
###ufnvadi###,ufaadti,fvadlti,0.009351,,,0,0
###raisrrf###,raairrf,rotiref,0.043021,,,0,0
###tivmevy###,tvimevy,rybmeyk,0.010166,,,0,0
###yelygäv###,yyllegv,foejväv,0.007695,,,0,0
###iuhlgvo###,iuhllvo,ijuomvt,0.007816,,,0,0
###ijrntbp###,ijrrrbp,ijlrppt,0.004776,,,0,0
###tmkhräi###,ttthrik,tdeheia,0.010345,,,0,0
###ygtajäf###,yttajjf,yttaäpi,0.010397,,,0,0
###tdsssvi###,tdsssvi,hfsjsvl,0.004684,,,0,0
###pyluhga###,pplugaa,pobigao,0.036681,,,0,0
###mvrvbfä###,mmmvbfä,mpähsfä,0.011823,,,0,0
###glyjohy###,ugyjjho,pfyjjvo,0.008084,,,0,0
###eiovköh###,eiavkkh,oravjke,0.007379,,,0,0
###rihjofs###,rihffgs,tnhgohs,0.003574,,,0,0
###uviseje###,uvissje,ryhssjm,0.006220,,,0,0
###afmuofs###,aaouofs,uaamofr,0.004207,,,0,0
###amygotk###,amoakkk,omorofh,0.015190,,,0,0
###äfjdheo###,ädhdheo,ldanhea,0.004672,,,0,0
###kfvlein###,kkvfefi,kkgfesi,0.031787,,,0,0
###igvrebe###,igvrebe,kgvseih,0.005762,,,0,0
###vjoosre###,väosjre,vnojrlo,0.019814,,,0,0
###kmvvonn###,kmmvonn,gbivmnn,0.005418,,,0,0
###gfkeraf###,ggkeeaf,gdafeav,0.018691,,,0,0
###auypybj###,auhpbbj,bpombuj,0.009212,,,0,0
###dägvkng###,dvnvkng,pvyhkhg,0.006103,,,0,0
###meuujey###,meuujey,mpuuhbe,0.013446,,,0,0
###msljäyu###,msläyäu,mjlekäu,0.103487,,,0,0
###ötmälfä###,öömmäaä,yämoteä,0.009139,,,0,0
###tiffion###,ttiuion,gbisinn,0.016304,,,0,0
###oueojnb###,oueojnb,oäemmöb,0.004672,,,0,0
###knhnejf###,khnnejf,kvnntom,0.008481,,,0,0
###hpylgyu###,hpllglu,rdylgru,0.011567,,,0,0
###ahgulyd###,auaylvd,fugyylj,0.009649,,,0,0
###ägettui###,ägettui,pgemtvt,0.005188,,,0,0
###äihmsup###,äiähsup,jerhsuy,0.003029,,,0,0
###iypirkä###,iäpipkä,iyvrpkä,0.031001,,,0,0
###uhtnabä###,hbtbbbä,jutbybk,0.010642,,,0,0
###lffhngh###,lfhnhgg,lvfnkgä,0.010410,,,0,0
###kekmrjl###,kmvmrlm,kjekrjp,0.008924,,,0,0
###dflbops###,ddlbpbs,ddtloiy,0.004137,,,0,0
###opölftf###,opottff,ogtflfv,0.004786,,,0,0
###kbndnno###,kbnddoo,gääddom,0.007285,,,0,0
###egivajj###,eivvajj,eötvyfj,0.009786,,,0,0
###geäfdfk###,gegfkok,uegirfk,0.008793,,,0,0
###ahdrvdy###,ahadyyy,aganyoh,0.012708,,,0,0
###iöogyjo###,iöhyijo,uigeiao,0.006717,,,0,0
###jmöeebf###,jmeeebf,jmäeeoo,0.030116,,,0,0
###ymkgprä###,ykgmkrä,ykpgkdr,0.004655,,,0,0
###fyemjbl###,fbemlml,foenhmh,0.010971,,,0,0
###gjlpgvr###,grnjjrr,gvsynsr,0.004287,,,0,0
###nekaaöj###,neköajj,ntkaskj,0.025418,,,0,0
###dpöghyö###,dpphhyö,dtpyeys,0.019525,,,0,0
###divfagv###,diaiaav,riafihv,0.022322,,,0,0
###apduöuu###,ahduuuu,jadmyut,0.005366,,,0,0
###mäubhfe###,mäuuhfe,mpuuhbe,0.270784,,,0,0
###ayduaan###,aaduana,nkbuasa,0.020111,,,0,0
###lmemgoa###,lemmgma,lempkfj,0.020592,,,0,0
###eyioabj###,eiiboaj,ebgihrj,0.010846,,,0,0
###lultfdg###,lflddfg,lttddkm,0.006278,,,0,0
###ohhhjnk###,oojhjnk,oberjok,0.006163,,,0,0
###bnäinup###,bbäunup,urändup,0.018586,,,0,0
###mvnsrnf###,mvssrff,getsfff,0.016564,,,0,0
###mjpäugj###,mjmäugu,mjnslru,0.007219,,,0,0
###ggnyves###,gnnvess,dtpyeys,0.012417,,,0,0
###vyvökld###,vyvkvkd,vdvaoäd,0.006881,,,0,0
###ätplyfp###,ätlyfyp,selyyäp,0.010819,,,0,0
###eyundyl###,eunnnyl,rtnndyd,0.018509,,,0,0
###drvvopf###,drvvonf,frsvdnf,0.043091,,,0,0
###mdoktkm###,mdottmm,mddgkbk,0.018320,,,0,0
###dkussgb###,dkuskdb,dauäojb,0.005398,,,0,0
###voobdhj###,vhorjvj,vmyyvdj,0.004461,,,0,0
###lmuvhgb###,lumvhbb,llrkhdu,0.005643,,,0,0
###jeyältk###,jeäyltk,jabsbkk,0.003061,,,0,0
###rygbvla###,rrgblaa,grgovka,0.014442,,,0,0
###ägsjtök###,ägjsökk,ädpsöpk,0.013759,,,0,0
###ägrönää###,älränää,äprätyä,0.015734,,,0,0
###öjdyrhi###,ööyjihh,ööpjumu,0.015936,,,0,0
###klutujt###,klujjjt,klugkfv,0.008380,,,0,0
###eohömnf###,eohnmmf,vogmrpf,0.004870,,,0,0
###deiuenu###,diiieuu,dnjhjun,0.009898,,,0,0
###jiifaöi###,jijiaöö,yijibiö,0.025288,,,0,0
###jsgafno###,jgsgffo,jvsggse,0.016538,,,0,0
###mvyoelp###,mvyypll,mfygvvl,0.005648,,,0,0
###ötpjdvk###,ötptkkk,öepakoj,0.004907,,,0,0
###dräejik###,dreejkk,dydäjko,0.017180,,,0,0
###nyksuöm###,nynslem,notslam,0.021381,,,0,0
###kubkraf###,kuubrjf,kugdhkf,0.003832,,,0,0
###jfoybbä###,jyfyoää,jsfyafo,0.003209,,,0,0
###gkpffnu###,gkpffnu,ghppbnä,0.006452,,,0,0
