input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###kkoöyjy###,koojöjy,kkoyöjy,0.094723,kkoyöjy,0.094723,0,0
###oggrhul###,oggrlul,ogghrul,0.086045,ogghrul,0.086045,0,0
###hahoiyn###,hahoyyn,hahioyn,0.090520,hahioyn,0.090520,0,0
###eutgvyl###,euugvyl,eutvgyl,0.091971,eutvgyl,0.091971,0,0
###rirösvb###,rirssvb,rirsövb,0.259289,rirsövb,0.259289,0,0
###jdorhde###,jdärhee,jdohrde,0.029326,jdohrde,0.029326,0,0
###lrdgmsd###,llgmgmd,lrdmgsd,0.013660,lrdmgsd,0.013660,0,0
###bnkvoti###,bnntvii,bnkovti,0.010360,bnkovti,0.010360,0,0
###dkkleyn###,dkkelyn,dkkelyn,0.675236,dkkelyn,0.675236,0,1
###elkrmlu###,elkeräu,elkmrlu,0.315584,elkmrlu,0.315584,0,0
###bydonrg###,bddongg,bydnorg,0.019933,bydnorg,0.019933,0,0
###pbuodby###,pbpodby,pbudoby,0.045325,pbudoby,0.045325,0,0
###ehbrmyd###,ehbmryd,ehbmryd,0.639045,ehbmryd,0.639045,0,1
###srrdgrh###,srsdgrh,srrgdrh,0.170663,srrgdrh,0.170663,0,0
###ybhynrp###,ybhnyrp,ybhnyrp,0.781757,ybhnyrp,0.781757,0,1
###otubbäf###,ottbbäf,otubbäf,0.629769,otubbäf,0.629769,1,1
###hpfrjyo###,hpfrjyo,hpfjryo,0.231503,hpfjryo,0.231503,0,0
###spfyähf###,spfyohf,spfäyhf,0.316994,spfäyhf,0.316994,0,0
###bmöuönu###,buööunu,bmööunu,0.813216,bmööunu,0.813216,0,1
###dibfvls###,diivvls,dibvfls,0.026143,dibvfls,0.026143,0,0
###sdöhjov###,sdöhhjv,sdöjhov,0.056009,sdöjhov,0.056009,0,0
###gtoetoi###,gtooooi,gtoteoi,0.102897,gtoteoi,0.102897,0,0
###gpfoois###,gpfoois,gpfoois,0.797322,gpfoois,0.797322,1,1
###okabpuk###,okabpuk,okapbuk,0.078461,okapbuk,0.078461,0,0
