input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###kkorgjy###,kkobyrj,kkoyöjy,0.017516,kkoyöjy,0.017516,0,0
###oggjiul###,ogjiiul,ogghrul,0.093202,ogghrul,0.093202,0,0
###hahkjyn###,haahkyn,hahioyn,0.086427,hahioyn,0.086427,0,0
###eutdhyl###,ettddhl,ethdvyl,0.221806,eutvgyl,0.008638,0,0
###rirmavb###,rbriavb,rirsövb,0.046278,rirsövb,0.046278,0,0
###jdoyyde###,jdoyyee,fdgyjef,0.013004,jdohrde,0.010446,0,0
###lrdfasd###,lldfand,lrdmgsd,0.026735,lrdmgsd,0.026735,0,0
###bnkhöti###,bnhhvti,bnkovti,0.017796,bnkovti,0.017796,0,0
###dkkvpyn###,dkkkpyn,dkkelyn,0.053263,dkkelyn,0.053263,0,0
###elkädlu###,elkäläu,elkmrlu,0.020099,elkmrlu,0.020099,0,0
###bydmjrg###,bddmsrg,bydnorg,0.010800,bydnorg,0.010800,0,0
###pbunmby###,pubjmby,pbudoby,0.004664,pbudoby,0.004664,0,0
###ehbgtyd###,eybggyd,ehbmryd,0.110433,ehbmryd,0.110433,0,0
###srrbkrh###,srbrbkh,rkbpnoh,0.011450,srrgdrh,0.008163,0,0
###ybhoorp###,ybhoorp,ybhnyrp,0.236852,ybhnyrp,0.236852,0,0
###otuemäf###,oetteäf,otubbäf,0.006364,otubbäf,0.006364,1,0
###hpfelyo###,hpfelyo,hpfjryo,0.073905,hpfjryo,0.073905,0,0
###spfgvhf###,sgvgvhf,bgjgphä,0.009729,spfäyhf,0.009727,0,0
###bmölknu###,bmölknu,bmööunu,0.054907,bmööunu,0.054907,0,0
###dibomls###,dbbeims,ylreeds,0.007311,dibvfls,0.002164,0,0
###sdöeäov###,seödeov,sdöjhov,0.040269,sdöjhov,0.040269,0,0
###gtohhoi###,gtotioi,gtoteoi,0.094299,gtoteoi,0.094299,0,0
###gpfräis###,gpfräss,gpfoois,0.027569,gpfoois,0.027569,1,0
###okajhuk###,okakhkk,oravjke,0.016802,okapbuk,0.015688,0,0
###ässtugg###,ässtugg,ässävgg,0.075453,ässävgg,0.075453,0,0
###gkjpomh###,gkjjomh,gkjynmh,0.049225,gkjynmh,0.049225,0,0
###intkeäö###,ittieäö,ivtibäl,0.039273,intaväö,0.008082,0,0
###buvinhf###,bvtbihf,buvlähf,0.005866,buvlähf,0.005866,0,0
###skdpläh###,skkpääh,skjpush,0.020596,skdkmäh,0.010600,0,0
###elnukfo###,elnnkfo,elngffo,0.017912,elngffo,0.017912,0,0
###bmfpumd###,bffuumd,bmftemd,0.046536,bmftemd,0.046536,0,0
###ffjeädl###,ffeeodl,ffjvodl,0.017121,ffjvodl,0.017121,0,0
###dfätsab###,dftfsab,dfärgab,0.046003,dfärgab,0.046003,0,0
