input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###aaltloa###,aalttla,aaltola,0.281139,aaltola,0.281139,0,0
###aamulla###,aamulla,aamulla,0.970741,aamulla,0.970741,1,1
###aamutsa###,aamutta,aamusta,0.494279,aamusta,0.494279,0,0
###afriakn###,afrikan,afrikan,0.793076,afrikan,0.793076,0,0
###aidotsi###,aidotti,aidosti,0.350710,aidosti,0.350710,0,0
###aiemamn###,aiemamn,asemaan,0.031068,aiemman,0.002127,0,0
###aiemamt###,aiemmmt,aiemmat,0.896062,aiemmat,0.896062,0,0
###aiemimn###,aiemimn,liemien,0.030828,aiemmin,0.012833,0,0
###aiemapa###,aiemapa,aiempia,0.086351,aiempaa,0.047329,0,0
###aiemipa###,aiemipa,liemien,0.034487,aiempia,0.026509,0,0
###aihenea###,aihenna,aiheena,0.105005,aiheena,0.105005,0,0
###aihenia###,aihenna,aiheena,0.377304,aiheina,0.326415,0,0
###aihetia###,aihetta,aihetta,0.866588,aiheita,0.003031,0,0
###aihetta###,aihetta,aihetta,0.929844,aihetta,0.929844,1,1
###aihetua###,aihetua,aihetta,0.779295,aiheuta,0.001548,0,0
###aikamme###,aikamme,aikamme,0.973681,aikamme,0.973681,1,1
###aikasna###,aikasna,aikoina,0.031854,aikansa,0.030311,0,0
###aikonia###,aikonna,aikoina,0.273974,aikoina,0.273974,0,0
###aikoejn###,aikkeen,aikojen,0.128650,aikojen,0.128650,0,0
###aikoavt###,avkavat,aikovat,0.056864,aikovat,0.056864,0,0
###ainaikn###,ainaikn,ainakin,0.602455,ainakin,0.602455,0,0
###ainetia###,ainetia,ainetta,0.734740,aineita,0.003288,0,0
###ainetta###,ainetta,ainetta,0.927161,ainetta,0.927161,1,1
###ainonaa###,ainonna,ainoana,0.591089,ainoana,0.591089,0,0
###aiotaan###,aiotaan,aiotaan,0.965059,aiotaan,0.965059,1,1
###aivoejn###,aivoeen,aivojen,0.167113,aivojen,0.167113,0,0
###ajamaan###,ajamaan,ajamaan,0.974025,ajamaan,0.974025,1,1
###ajetaan###,ajetaan,ajetaan,0.962442,ajetaan,0.962442,1,1
###ajoitla###,ajoilla,ajoilta,0.573723,ajoilta,0.573723,0,0
###ajoissa###,ajoissa,ajoissa,0.962076,ajoissa,0.962076,1,1
