input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
######aaltola,aaltola,aaltola,0.973465,aaltola,0.973465,0,1
#####aaltola#,aaltola,aaltola,0.969480,aaltola,0.969480,0,1
####aaltola##,aaltola,aaltola,0.966305,aaltola,0.966305,0,1
###aaltola###,aaltola,aaltola,0.972799,aaltola,0.972799,0,1
##aaltola####,aaltola,aaltola,0.963753,aaltola,0.963753,0,1
#aaltola#####,aaltola,aaltola,0.969065,aaltola,0.969065,0,1
aaltola######,aaltola,aaltola,0.966046,aaltola,0.966046,0,1
######aamulla,aamulla,aamulla,0.971623,aamulla,0.971623,0,1
#####aamulla#,aamulla,aamulla,0.972195,aamulla,0.972195,0,1
####aamulla##,aamulla,aamulla,0.970776,aamulla,0.970776,0,1
###aamulla###,aamulla,aamulla,0.970741,aamulla,0.970741,0,1
##aamulla####,aamulla,aamulla,0.970294,aamulla,0.970294,0,1
#aamulla#####,aamulla,aamulla,0.968244,aamulla,0.968244,0,1
aamulla######,aamulla,aamulla,0.968918,aamulla,0.968918,0,1
######aamusta,aamusta,aamusta,0.965631,aamusta,0.965631,0,1
#####aamusta#,aamusta,aamusta,0.963870,aamusta,0.963870,0,1
####aamusta##,aamusta,aamusta,0.955675,aamusta,0.955675,0,1
###aamusta###,aamusta,aamusta,0.960217,aamusta,0.960217,0,1
##aamusta####,aamusta,aamusta,0.961867,aamusta,0.961867,0,1
#aamusta#####,aamusta,aamusta,0.963781,aamusta,0.963781,0,1
aamusta######,aamusta,aamusta,0.959066,aamusta,0.959066,0,1
######afrikan,afrikan,afrikan,0.981924,afrikan,0.981924,0,1
#####afrikan#,afrikan,afrikan,0.984029,afrikan,0.984029,0,1
####afrikan##,afrikan,afrikan,0.983926,afrikan,0.983926,0,1
###afrikan###,afrikan,afrikan,0.983793,afrikan,0.983793,0,1
##afrikan####,afrikan,afrikan,0.982863,afrikan,0.982863,0,1
#afrikan#####,afrikan,afrikan,0.982937,afrikan,0.982937,0,1
afrikan######,afrikan,afrikan,0.983034,afrikan,0.983034,0,1
######aidosti,aidosti,aidosti,0.981158,aidosti,0.981158,0,1
#####aidosti#,aidosti,aidosti,0.979898,aidosti,0.979898,0,1
####aidosti##,aidosti,aidosti,0.980563,aidosti,0.980563,0,1
###aidosti###,aidosti,aidosti,0.981695,aidosti,0.981695,0,1
##aidosti####,aidosti,aidosti,0.981666,aidosti,0.981666,0,1
#aidosti#####,aidosti,aidosti,0.980047,aidosti,0.980047,0,1
aidosti######,aidosti,aidosti,0.980108,aidosti,0.980108,0,1
######aiemman,aiemman,aiemman,0.935692,aiemman,0.935692,0,1
#####aiemman#,aiemman,aiemman,0.934269,aiemman,0.934269,0,1
####aiemman##,aiemman,aiemman,0.935470,aiemman,0.935470,0,1
###aiemman###,aiemman,aiemman,0.933053,aiemman,0.933053,0,1
##aiemman####,aiemman,aiemman,0.934714,aiemman,0.934714,0,1
#aiemman#####,aiemman,aiemman,0.935907,aiemman,0.935907,0,1
aiemman######,aiemman,aiemman,0.932240,aiemman,0.932240,0,1
######aiemmat,aiemmat,aiemmat,0.962086,aiemmat,0.962086,0,1
#####aiemmat#,aiemmat,aiemmat,0.962394,aiemmat,0.962394,0,1
####aiemmat##,aiemmat,aiemmat,0.963176,aiemmat,0.963176,0,1
###aiemmat###,aiemmat,aiemmat,0.961751,aiemmat,0.961751,0,1
##aiemmat####,aiemmat,aiemmat,0.962366,aiemmat,0.962366,0,1
#aiemmat#####,aiemmat,aiemmat,0.961717,aiemmat,0.961717,0,1
aiemmat######,aiemmat,aiemmat,0.962138,aiemmat,0.962138,0,1
######aiemmin,aiemmin,aiemmin,0.956664,aiemmin,0.956664,0,1
#####aiemmin#,aiemmin,aiemmin,0.958862,aiemmin,0.958862,0,1
####aiemmin##,aiemmin,aiemmin,0.954473,aiemmin,0.954473,0,1
###aiemmin###,aiemmin,aiemmin,0.956729,aiemmin,0.956729,0,1
##aiemmin####,aiemmin,aiemmin,0.956251,aiemmin,0.956251,0,1
#aiemmin#####,aiemmin,aiemmin,0.957833,aiemmin,0.957833,0,1
aiemmin######,aiemmin,aiemmin,0.953417,aiemmin,0.953417,0,1
######aiempaa,aiempaa,aiempaa,0.959089,aiempaa,0.959089,0,1
#####aiempaa#,aiempaa,aiempaa,0.961024,aiempaa,0.961024,0,1
####aiempaa##,aiempaa,aiempaa,0.962679,aiempaa,0.962679,0,1
###aiempaa###,aiempaa,aiempaa,0.955192,aiempaa,0.955192,0,1
##aiempaa####,aiempaa,aiempaa,0.958245,aiempaa,0.958245,0,1
#aiempaa#####,aiempaa,aiempaa,0.960979,aiempaa,0.960979,0,1
aiempaa######,aiempaa,aiempaa,0.960886,aiempaa,0.960886,0,1
######aiempia,aiempia,aiempia,0.954689,aiempia,0.954689,0,1
#####aiempia#,aiempia,aiempia,0.954774,aiempia,0.954774,0,1
####aiempia##,aiempia,aiempia,0.955998,aiempia,0.955998,0,1
###aiempia###,aiempia,aiempia,0.949624,aiempia,0.949624,0,1
##aiempia####,aiempia,aiempia,0.957012,aiempia,0.957012,0,1
#aiempia#####,aiempia,aiempia,0.955329,aiempia,0.955329,0,1
aiempia######,aiempia,aiempia,0.954940,aiempia,0.954940,0,1
######aiheena,aiheena,aiheena,0.962814,aiheena,0.962814,0,1
#####aiheena#,aiheena,aiheena,0.960993,aiheena,0.960993,0,1
####aiheena##,aiheena,aiheena,0.963144,aiheena,0.963144,0,1
###aiheena###,aiheena,aiheena,0.963222,aiheena,0.963222,0,1
##aiheena####,aiheena,aiheena,0.963373,aiheena,0.963373,0,1
#aiheena#####,aiheena,aiheena,0.961772,aiheena,0.961772,0,1
aiheena######,aiheena,aiheena,0.964552,aiheena,0.964552,0,1
######aiheina,aiheina,aiheina,0.948164,aiheina,0.948164,0,1
#####aiheina#,aiheina,aiheina,0.945339,aiheina,0.945339,0,1
####aiheina##,aiheina,aiheina,0.946870,aiheina,0.946870,0,1
###aiheina###,aiheina,aiheina,0.949681,aiheina,0.949681,0,1
##aiheina####,aiheina,aiheina,0.945377,aiheina,0.945377,0,1
#aiheina#####,aiheina,aiheina,0.949844,aiheina,0.949844,0,1
aiheina######,aiheina,aiheina,0.948438,aiheina,0.948438,0,1
######aiheita,aiheita,aiheita,0.915987,aiheita,0.915987,0,1
#####aiheita#,aiheita,aiheita,0.914648,aiheita,0.914648,0,1
####aiheita##,aiheita,aiheita,0.917786,aiheita,0.917786,0,1
###aiheita###,aiheita,aiheita,0.917564,aiheita,0.917564,0,1
##aiheita####,aiheita,aiheita,0.916833,aiheita,0.916833,0,1
#aiheita#####,aiheita,aiheita,0.917657,aiheita,0.917657,0,1
aiheita######,aiheita,aiheita,0.917429,aiheita,0.917429,0,1
######aihetta,aihetta,aihetta,0.932622,aihetta,0.932622,0,1
#####aihetta#,aihetta,aihetta,0.931928,aihetta,0.931928,0,1
####aihetta##,aihetta,aihetta,0.928595,aihetta,0.928595,0,1
###aihetta###,aihetta,aihetta,0.929844,aihetta,0.929844,0,1
##aihetta####,aihetta,aihetta,0.933283,aihetta,0.933283,0,1
#aihetta#####,aihetta,aihetta,0.922471,aihetta,0.922471,0,1
aihetta######,aihetta,aihetta,0.932235,aihetta,0.932235,0,1
######aiheuta,aiheuta,aiheuta,0.965105,aiheuta,0.965105,0,1
#####aiheuta#,aiheuta,aiheuta,0.961217,aiheuta,0.961217,0,1
####aiheuta##,aiheuta,aiheuta,0.952476,aiheuta,0.952476,0,1
###aiheuta###,aiheuta,aiheuta,0.964073,aiheuta,0.964073,0,1
##aiheuta####,aiheuta,aiheuta,0.944040,aiheuta,0.944040,0,1
#aiheuta#####,aiheuta,aiheuta,0.959955,aiheuta,0.959955,0,1
aiheuta######,aiheuta,aiheuta,0.956530,aiheuta,0.956530,0,1
######aikamme,aikamme,aikamme,0.972363,aikamme,0.972363,0,1
#####aikamme#,aikamme,aikamme,0.973677,aikamme,0.973677,0,1
####aikamme##,aikamme,aikamme,0.972739,aikamme,0.972739,0,1
###aikamme###,aikamme,aikamme,0.973681,aikamme,0.973681,0,1
##aikamme####,aikamme,aikamme,0.970752,aikamme,0.970752,0,1
#aikamme#####,aikamme,aikamme,0.972989,aikamme,0.972989,0,1
aikamme######,aikamme,aikamme,0.972548,aikamme,0.972548,0,1
######aikansa,aikansa,aikansa,0.968406,aikansa,0.968406,0,1
#####aikansa#,aikansa,aikansa,0.966626,aikansa,0.966626,0,1
####aikansa##,aikansa,aikansa,0.964329,aikansa,0.964329,0,1
###aikansa###,aikansa,aikansa,0.967873,aikansa,0.967873,0,1
##aikansa####,aikansa,aikansa,0.967522,aikansa,0.967522,0,1
#aikansa#####,aikansa,aikansa,0.968441,aikansa,0.968441,0,1
aikansa######,aikansa,aikansa,0.967066,aikansa,0.967066,0,1
