input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
####aalt#####,alaaamt,saatava,0.008394,aaltola,0.000008,0,0
####aamu#####,aamaamu,tapaama,0.064551,aamulla,0.000055,0,0
####aamu#####,aamaamu,tapaama,0.064551,aamusta,0.000020,0,0
####afri#####,fffirri,frendit,0.020924,afrikan,0.000887,0,0
####aido#####,ahdadde,asioida,0.026531,aidosti,0.001252,0,0
####aiem#####,asemmme,aneista,0.015260,aiemman,0.000531,0,0
####aiem#####,asemmme,aneista,0.015260,aiemmat,0.003839,0,0
####aiem#####,asemmme,aneista,0.015260,aiemmin,0.004243,0,0
####aiem#####,asemmme,aneista,0.015260,aiempaa,0.000180,0,0
####aiem#####,asemmme,aneista,0.015260,aiempia,0.001368,0,0
####aihe#####,aihaame,aiheena,0.018251,aiheena,0.018251,0,0
####aihe#####,aihaame,aiheena,0.018251,aiheina,0.008221,0,0
####aihe#####,aihaame,aiheena,0.018251,aiheita,0.013192,0,0
####aihe#####,aihaame,aiheena,0.018251,aihetta,0.017170,0,0
####aihe#####,aihaame,aiheena,0.018251,aiheuta,0.008059,0,0
####aika#####,aikaaka,aikansa,0.007306,aikamme,0.001764,0,0
####aika#####,aikaaka,aikansa,0.007306,aikansa,0.007306,0,0
####aiko#####,aikaako,ohjaamo,0.012570,aikoina,0.000100,0,0
####aiko#####,aikaako,ohjaamo,0.012570,aikojen,0.000744,0,0
####aiko#####,aikaako,ohjaamo,0.012570,aikovat,0.000051,0,0
####aina#####,aiaaana,pelaaja,0.003285,ainakin,0.000025,0,0
####aine#####,ainaake,ainakin,0.001750,aineita,0.000099,0,0
####aine#####,ainaake,ainakin,0.001750,ainetta,0.000038,0,0
####aino#####,ainaako,ohjaamo,0.009814,ainoana,0.000567,0,0
####aiot#####,asotart,aiotaan,0.009458,aiotaan,0.009458,0,0
####aivo#####,aivaavo,mittava,0.025414,aivojen,0.000796,0,0
####ajam#####,ajmamma,tapaama,0.015465,ajamaan,0.000513,0,0
####ajet#####,ajeajjt,työajan,0.017965,ajetaan,0.000303,0,0
####ajoi#####,ahjijri,kävijät,0.003707,ajoilta,0.000349,0,0
####ajoi#####,ahjijri,kävijät,0.003707,ajoissa,0.000630,0,0
####ajoi#####,ahjijri,kävijät,0.003707,ajoista,0.000172,0,0
####akse#####,akeakke,asialle,0.006244,akselin,0.000350,0,0
####akuu#####,akuakuu,lokakuu,0.025784,akuutti,0.000099,0,0
####alai#####,alaalla,maailma,0.001598,alainen,0.000531,0,0
####alat#####,alaaamt,alatalo,0.004660,alataan,0.002122,0,0
####alat#####,alaaamt,alatalo,0.004660,alatalo,0.004660,0,0
####alek#####,alkalme,alkaisi,0.044077,aleksis,0.002048,0,0
####alen#####,alealee,asialle,0.007642,alennus,0.000026,0,0
####alen#####,alealee,asialle,0.007642,alentaa,0.000022,0,0
####alet#####,alealmt,asialle,0.005381,aletaan,0.000091,0,0
####alka#####,alkalka,aloilta,0.008822,alkaisi,0.002154,0,0
####alka#####,alkalka,aloilta,0.008822,alkanut,0.003310,0,0
####alka#####,alkalka,aloilta,0.008822,alkavan,0.000657,0,0
####alka#####,alkalka,aloilta,0.008822,alkavat,0.002029,0,0
####alku#####,alkakmu,lokakuu,0.226674,alkunsa,0.000105,0,0
####aloi#####,aloillo,aloilta,0.066513,aloilla,0.011998,0,0
####aloi#####,aloillo,aloilta,0.066513,aloille,0.042651,0,0
####aloi#####,aloillo,aloilta,0.066513,aloilta,0.066513,0,0
####aloi#####,aloillo,aloilta,0.066513,aloitin,0.001565,0,0
####aloi#####,aloillo,aloilta,0.066513,aloitti,0.010181,0,0
####aloi#####,aloillo,aloilta,0.066513,aloitus,0.005972,0,0
####alue#####,alualue,arvelee,0.008549,alueita,0.000027,0,0
####alue#####,alualue,arvelee,0.008549,aluetta,0.000017,0,0
####aluk#####,alkkkuu,alkanut,0.017113,aluksen,0.005353,0,0
####amma#####,ghmamme,aikamme,0.064696,ammatin,0.001494,0,0
####amma#####,ghmamme,aikamme,0.064696,ammatti,0.001080,0,0
####anei#####,anninni,aneista,0.052935,aneista,0.052935,0,0
####anna#####,anaanna,antamaa,0.019817,annamme,0.001106,0,0
####anne#####,annanme,annamme,0.075999,annettu,0.002191,0,0
####anne#####,annanme,annamme,0.075999,annetun,0.001153,0,0
