input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###önughgh###,uhhhhus,kehotus,0.011722,,,0,0
###gäädöfö###,ydäöööö,lähtöön,0.172234,,,0,0
###kappyea###,kappeja,kappeli,0.074911,,,0,0
###sgrpäkr###,serärrt,sektori,0.004423,,,0,0
###däjvgäl###,jddääly,kadulla,0.013864,,,0,0
###kdtymäb###,kädymyy,näkymiä,0.026710,,,0,0
###hlldkei###,holekli,hyväksi,0.015662,,,0,0
###ävfrkjt###,krväjöt,kävijät,0.222374,,,0,0
###jhdurfy###,jrrudru,perustu,0.004708,,,0,0
###flrhävf###,hrhvovs,harvoin,0.084869,,,0,0
###rsjsiti###,srssiti,resepti,0.017672,,,0,0
###dyfjlyt###,jhdtyyy,liittyy,0.073800,,,0,0
###yinhknd###,yinndyn,hiihdon,0.036672,,,0,0
###rmljguo###,romoajo,romaani,0.016660,,,0,0
###limbbpö###,lilpöjö,neliötä,0.016769,,,0,0
###lppdbdl###,lyläklt,kylpylä,0.030447,,,0,0
###öontrus###,ftrutus,ottanut,0.019215,,,0,0
###onikkmk###,onikkko,otsikko,0.010975,,,0,0
###flduyaj###,lyenaju,hienoja,0.032811,,,0,0
###taöyony###,taydoty,taitoja,0.011745,,,0,0
###nkjpnäm###,neppmmn,räppiin,0.017578,,,0,0
###lanarpd###,lasaari,pasanen,0.011290,,,0,0
###gifsyuh###,yhihaus,yllätys,0.002151,,,0,0
###pfgbedb###,podpyds,sodassa,0.014120,,,0,0
###iatörbg###,imtirri,notaari,0.004481,,,0,0
###lkegefs###,leeäeds,levikki,0.011336,,,0,0
###dvsrsök###,vrsäkis,lisäksi,0.039116,,,0,0
###jäyppyn###,jäyptyn,jätteen,0.020217,,,0,0
###oäfldhs###,fhdodus,ehdotus,0.022619,,,0,0
###fgfplki###,fopikli,tapiola,0.005471,,,0,0
###yvfieky###,yyviiky,variety,0.022856,,,0,0
###vvijpdh###,vviidps,väittää,0.018908,,,0,0
###hnvurul###,hovulli,luvulla,0.029660,,,0,0
###pöfbggh###,pööphus,pakkaus,0.027619,,,0,0
###iaijkrä###,ariisrä,kriisiä,0.037090,,,0,0
###vuiljik###,vuilkia,viikkoa,0.008397,,,0,0
###rtkaimy###,trräimy,täyttyy,0.009648,,,0,0
###vukimis###,vukimis,vakiona,0.008263,,,0,0
###nlddmpp###,nelppit,helpoin,0.014393,,,0,0
###mpruoib###,morpoii,milloin,0.076663,,,0,0
###egsakyt###,eetäkyt,estävät,0.021549,,,0,0
###duämhöä###,ähddäds,syödään,0.029574,,,0,0
###vhmfeys###,vhhmmys,lähetys,0.055062,,,0,0
###hsjvyöm###,hyvmmjs,hakemus,0.019817,,,0,0
###gjspkgk###,jtpäkks,annukka,0.024939,,,0,0
###ufnvadi###,fudvnni,luennoi,0.012771,,,0,0
###raisrrf###,rrirrri,siirron,0.033590,,,0,0
###tivmevy###,tivvevy,toimiva,0.010628,,,0,0
###yelygäv###,yylyvvs,valtava,0.046709,,,0,0
###iuhlgvo###,ihhohvo,kalervo,0.034170,,,0,0
###ijrntbp###,firiötn,syöpään,0.001301,,,0,0
###tmkhräi###,tehktii,tekstiä,0.003579,,,0,0
###ygtajäf###,ysyäjjä,yhdellä,0.025658,,,0,0
###tdsssvi###,tossksi,todeksi,0.039744,,,0,0
###pyluhga###,pyhuhaa,perusta,0.013944,,,0,0
###mvrvbfä###,verävrä,merellä,0.027773,,,0,0
###glyjohy###,yhhlyjo,johtaja,0.011766,,,0,0
###eiovköh###,ehehvks,eivätkä,0.052889,,,0,0
###rihjofs###,rihjojs,rohkeus,0.025933,,,0,0
###uviseje###,ussveee,asuneet,0.007860,,,0,0
###afmuofs###,autamus,sopimus,0.014905,,,0,0
###amygotk###,avaatko,avautuu,0.020390,,,0,0
###äfjdheo###,äädojdy,kädellä,0.013198,,,0,0
###kfvlein###,kolkiin,korkein,0.022340,,,0,0
###igvrebe###,vrireke,kristus,0.014651,,,0,0
###vjoosre###,voosore,vähenee,0.005902,,,0,0
###kmvvonn###,kovvoon,kaverin,0.010478,,,0,0
###gfkeraf###,kertrvs,kierros,0.003318,,,0,0
###auypybj###,avapjjy,työpaja,0.058368,,,0,0
###dägvkng###,vrddkvn,sydämen,0.002806,,,0,0
###meuujey###,mejujje,murujen,0.018144,,,0,0
###msljäyu###,mellämä,malleja,0.028425,,,0,0
###ötmälfä###,mööääuä,mökillä,0.007709,,,0,0
###tiffion###,tiriion,toivion,0.045029,,,0,0
###oueojnb###,oseojjn,ostajan,0.027436,,,0,0
###knhnejf###,käkneje,keinoja,0.014985,,,0,0
###hpylgyu###,hylhyuu,kylpylä,0.058619,,,0,0
###ahgulyd###,ahyudda,asioida,0.011164,,,0,0
###ägettui###,ääättui,lähetti,0.000957,,,0,0
###äihmsup###,äismäms,kisassa,0.002404,,,0,0
###iypirkä###,yrkirkä,liminka,0.001967,,,0,0
###uhtnabä###,uhttnvä,uutinen,0.018174,,,0,0
###lffhngh###,hhhhuds,hannula,0.081780,,,0,0
