input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###aalröla###,aaaarla,aaltola,0.028350,aaltola,0.028350,0,0
###aamhila###,aammila,aamulla,0.017031,aamulla,0.017031,0,0
###aamhita###,aammita,aamusta,0.101244,aamusta,0.101244,0,0
###afrjean###,aarjjan,sarjaan,0.032623,afrikan,0.003946,0,0
###aidhnti###,aihotti,aidosti,0.091035,aidosti,0.091035,0,0
###aiebvan###,aieevan,aiemman,0.040766,aiemman,0.040766,1,0
###aievgat###,aievvat,aiemmat,0.057312,aiemmat,0.057312,1,0
###aiebäin###,aieniin,aiemmin,0.053248,aiemmin,0.053248,1,0
###aiejyaa###,aiejeja,aiheena,0.011430,aiempaa,0.001247,0,0
###aievoia###,aievoia,aiempia,0.006532,aiempia,0.006532,0,0
###aihyfna###,aihhuna,aiheina,0.078058,aiheena,0.068585,1,0
###aihokna###,aihokna,ainoana,0.112534,aiheina,0.027522,0,0
###aihpota###,pihopta,kirjata,0.006390,aiheita,0.000303,0,0
###aihföta###,aihauta,aiheita,0.007052,aihetta,0.003735,0,0
###aihrdta###,aihadta,kirjata,0.005216,aiheuta,0.003950,0,0
###aiklrme###,aikkrme,aikamme,0.521383,aikamme,0.521383,0,1
###aikpesa###,aikeesa,aiheena,0.004555,aikansa,0.002949,0,0
###aikpfna###,aikasna,ainoana,0.024046,aikoina,0.018586,0,0
###aikphen###,aikahen,aikojen,0.006256,aikojen,0.006256,0,0
###aikänat###,akkanat,ikkunat,0.022893,aikovat,0.004780,0,0
###ainmäin###,ainmkin,ainakin,0.196147,ainakin,0.196147,0,0
###ainmkta###,ainkmta,ainetta,0.218768,aineita,0.117316,0,0
###ainfyta###,ainnuta,tunneta,0.067087,ainetta,0.028123,0,0
###ainggna###,ainnkna,antamaa,0.008611,ainoana,0.006064,0,0
###aiopyan###,aiapaan,vieraan,0.004163,aiotaan,0.001186,0,0
###aivlhen###,aivalen,aivojen,0.026979,aivojen,0.026979,0,0
###ajavyan###,aaavaan,alainen,0.002809,ajamaan,0.001128,0,0
###ajemäan###,ajemaan,asemaan,0.242027,ajetaan,0.007107,0,0
###ajommta###,ajommma,avoimia,0.005864,ajoilta,0.000362,0,0
###ajoegsa###,ajeossa,ajoissa,0.370035,ajoissa,0.370035,0,0
###ajompta###,ajopmta,avointa,0.003929,ajoista,0.001306,0,0
###aksovin###,aasovin,akselin,0.020837,akselin,0.020837,0,0
###akujnti###,akjunti,rajusti,0.132890,akuutti,0.066214,0,0
###alatfen###,alateen,alataan,0.304779,alainen,0.165996,0,0
###alavpan###,alavvan,alataan,0.280681,alataan,0.280681,0,0
###alanklo###,alaallo,alatalo,0.296641,alatalo,0.296641,0,0
###alejvis###,alevvus,aleksis,0.025884,aleksis,0.025884,0,0
###alepkus###,aleksus,alennus,0.388215,alennus,0.388215,1,0
###alerdaa###,areeraa,aiempaa,0.014944,alentaa,0.006328,0,0
###aledvan###,aaevvan,vaikean,0.002275,aletaan,0.000405,0,0
###alkpvsi###,alpivsi,alkaisi,0.019761,alkaisi,0.019761,0,0
###alkyeut###,alkeeut,alkavat,0.033090,alkanut,0.007827,0,0
###alkdean###,alkelan,alkavan,0.009192,alkavan,0.009192,0,0
###alkosat###,alkostt,alkavat,0.015168,alkavat,0.015168,0,0
###alktäsa###,altssta,alentaa,0.018024,alkunsa,0.007595,0,0
###aloöyla###,aaaplla,sivulla,0.003406,aloilla,0.003052,0,0
###aloutle###,aloulte,aloilta,0.158511,aloille,0.059113,0,0
###aloknta###,aloknta,aloilta,0.197861,aloilta,0.197861,0,0
###alopsin###,alppsin,tapasin,0.081909,aloitin,0.011372,0,0
###alongti###,aloonti,aloitti,0.077762,aloitti,0.077762,0,0
###alopeus###,alossus,aloitus,0.298969,aloitus,0.298969,0,0
###alubnta###,aluuuta,paluuta,0.011997,alueita,0.006129,0,0
###aluöbta###,aluauta,muualta,0.045542,aluetta,0.001078,0,0
