input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###pouvior###,pouvior,pouvoir,0.208194,pouvoir,0.208194,0,0
###voulior###,vouvior,vouloir,0.063582,vouloir,0.063582,0,0
###prenrde###,prenrde,prendre,0.007757,prendre,0.007757,0,0
###fallior###,fallior,falloir,0.208786,falloir,0.208786,0,0
###trouevr###,trouver,trouver,0.605010,trouver,0.605010,0,0
###laisesr###,laisser,laisser,0.595377,laisser,0.595377,0,0
###arrievr###,arrvrer,arriver,0.189787,arriver,0.189787,0,0
###premeir###,premeir,premier,0.007485,premier,0.007485,0,0
###sembelr###,sembler,sembler,0.928851,sembler,0.928851,0,1
###queluqe###,quelque,quelque,0.712327,quelque,0.712327,0,0
###deveinr###,deveeer,dentier,0.013483,devenir,0.000167,0,0
###reveinr###,revvier,rentier,0.007316,revenir,0.000102,0,0
###presuqe###,presque,presque,0.632912,presque,0.632912,0,0
###appeelr###,appeler,appeler,0.916897,appeler,0.916897,0,1
###arrêetr###,arrêter,arrêter,0.451074,arrêter,0.451074,0,0
###pendnat###,pendant,pendant,0.534927,pendant,0.534927,0,0
###chamrbe###,chabrbe,charrue,0.137699,chambre,0.005906,0,0
###derneir###,derneir,dernier,0.385699,dernier,0.385699,0,0
###asseior###,asseior,asseoir,0.129807,asseoir,0.129807,0,0
###tourenr###,toureer,tourner,0.293447,tourner,0.293447,0,0
###instnat###,instaat,instant,0.350173,instant,0.350173,0,0
###marcehr###,marcher,marcher,0.958395,marcher,0.958395,0,1
###silecne###,silecne,silence,0.246306,silence,0.246306,0,0
###quitetr###,quiteer,quitter,0.573316,quitter,0.573316,0,0
###écouetr###,écouter,écouter,0.926545,écouter,0.926545,0,1
###essaeyr###,essayer,essayer,0.979009,essayer,0.979009,0,1
###nouvaeu###,nouveae,nouveau,0.211228,nouveau,0.211228,0,0
###surtuot###,surtuot,surtout,0.357481,surtout,0.357481,0,0
###pousesr###,pousser,pousser,0.732936,pousser,0.732936,0,0
###parfios###,parfiss,parfois,0.860378,parfois,0.860378,0,0
###oubleir###,oulleer,oublier,0.164653,oublier,0.164653,0,0
###souvnet###,souvntt,souvent,0.362827,souvent,0.362827,0,0
###voitrue###,vottrue,voiture,0.030932,voiture,0.030932,0,0
###fenêrte###,fenêrte,fenêtre,0.028579,fenêtre,0.028579,0,0
###renterr###,renteer,rentier,0.404324,rentrer,0.385068,0,0
###monterr###,montter,montrer,0.450282,montrer,0.450282,0,0
###famille###,famille,famille,0.970367,famille,0.970367,1,1
###lumirèe###,lumirme,lumière,0.596326,lumière,0.596326,0,0
###travial###,travial,trivial,0.462992,travail,0.053753,0,0
###sourrie###,sorrrie,serrure,0.003050,sourire,0.000387,0,0
###affarie###,affarie,affable,0.019768,affaire,0.018025,0,0
###travres###,travrss,travers,0.554040,travers,0.554040,0,0
###chanegr###,chanher,cracher,0.006885,changer,0.003848,0,0
###commnet###,commnet,comment,0.215445,comment,0.215445,0,0
###généarl###,généoal,général,0.501827,général,0.501827,0,0
###plaiisr###,plaiser,plaisir,0.554018,plaisir,0.554018,0,0
###glisesr###,gliseer,glisser,0.838673,glisser,0.838673,0,0
###ajouetr###,ajoutur,ajouter,0.910814,ajouter,0.910814,0,1
###occuepr###,occcper,occuper,0.477306,occuper,0.477306,0,0
###déciedr###,décceer,décorer,0.007724,décider,0.002279,0,0
###soudian###,soudiin,soudain,0.452866,soudain,0.452866,0,0
###lorsuqe###,lorsque,lorsque,0.950472,lorsque,0.950472,0,1
###competr###,comprer,compter,0.054887,compter,0.054887,0,0
###mauvias###,mauvias,mauvais,0.480545,mauvais,0.480545,0,0
###répéetr###,répéeer,répéter,0.008330,répéter,0.008330,0,0
###couluer###,couluer,couleur,0.031404,couleur,0.031404,0,0
###jouranl###,journol,journal,0.718317,journal,0.718317,0,0
###manqeur###,manqeur,manquer,0.059567,manquer,0.059567,0,0
###semanie###,semanie,semaine,0.019465,semaine,0.019465,0,0
###coucehr###,coucher,coucher,0.710510,coucher,0.710510,0,0
###avanecr###,avaneer,avancer,0.498947,avancer,0.498947,0,0
###oreille###,oreille,oreille,0.963660,oreille,0.963660,1,1
###toucehr###,toucher,toucher,0.789935,toucher,0.789935,0,0
###heuruex###,heureux,heureux,0.445979,heureux,0.445979,0,0
###certian###,certian,certain,0.190344,certain,0.190344,0,0
###jouréne###,jourene,journée,0.077839,journée,0.077839,0,0
###partuot###,partuot,partout,0.170491,partout,0.170491,0,0
###envoeyr###,envoyer,envoyer,0.960880,envoyer,0.960880,0,1
###bienôtt###,bientôt,bientôt,0.687766,bientôt,0.687766,0,0
###ensutie###,ensutie,ensuite,0.068961,ensuite,0.068961,0,0
###frapepr###,frapper,frapper,0.960018,frapper,0.960018,0,1
