input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###yyyyyyy###,byyyyer,bégayer,0.042148,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###nnnnnnn###,nannnnn,adonner,0.004553,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###aaaaaaa###,afaaaac,apparat,0.005915,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###èèèèèèè###,oxxèèèe,oxygène,0.074232,,,0,0
###hhhhhhh###,hhihhhi,brigade,0.047039,,,0,0
###bbbbbbb###,bâbbbbu,bourbon,0.384053,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###ôôôôôôô###,eôôlôml,hôpital,0.072526,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###ccccccc###,ccccccu,précoce,0.045591,,,0,0
###nnnnnnn###,nannnnn,adonner,0.004553,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###ggggggg###,gmgghgg,gigoter,0.242456,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###rrrrrrr###,rrrrrrr,recréer,0.026490,,,0,0
###ûûûûûûû###,elûûemx,brûlant,0.059523,,,0,0
###rrrrrrr###,rrrrrrr,recréer,0.026490,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###üüüüüüü###,embûbré,embûche,0.030744,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###iiiiiii###,iiieiii,idiotie,0.006427,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###îîîîîîî###,tlaîore,traître,0.068981,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###îîîîîîî###,tlaîore,traître,0.068981,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###ôôôôôôô###,eôôlôml,hôpital,0.072526,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###iiiiiii###,iiieiii,idiotie,0.006427,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###ôôôôôôô###,eôôlôml,hôpital,0.072526,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###zzzzzzz###,zizgrne,limpide,0.008349,,,0,0
###nnnnnnn###,nannnnn,adonner,0.004553,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###zzzzzzz###,zizgrne,limpide,0.008349,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###üüüüüüü###,embûbré,embûche,0.030744,,,0,0
###âââââââ###,lâââeai,lâcheté,0.102544,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###ccccccc###,ccccccu,précoce,0.045591,,,0,0
###ddddddd###,ddddddd,déduire,0.221108,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###ccccccc###,ccccccu,précoce,0.045591,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###ààààààà###,dépoieé,déboire,0.146458,,,0,0
###yyyyyyy###,byyyyer,bégayer,0.042148,,,0,0
###ôôôôôôô###,eôôlôml,hôpital,0.072526,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###üüüüüüü###,embûbré,embûche,0.030744,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###ààààààà###,dépoieé,déboire,0.146458,,,0,0
###zzzzzzz###,zizgrne,limpide,0.008349,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###bbbbbbb###,bâbbbbu,bourbon,0.384053,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###ôôôôôôô###,eôôlôml,hôpital,0.072526,,,0,0
###aaaaaaa###,afaaaac,apparat,0.005915,,,0,0
###ààààààà###,dépoieé,déboire,0.146458,,,0,0
###zzzzzzz###,zizgrne,limpide,0.008349,,,0,0
###zzzzzzz###,zizgrne,limpide,0.008349,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###rrrrrrr###,rrrrrrr,recréer,0.026490,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###yyyyyyy###,byyyyer,bégayer,0.042148,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###uuuuuuu###,uuuueuu,taureau,0.027717,,,0,0
###aaaaaaa###,afaaaac,apparat,0.005915,,,0,0
###zzzzzzz###,zizgrne,limpide,0.008349,,,0,0
###bbbbbbb###,bâbbbbu,bourbon,0.384053,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###èèèèèèè###,oxxèèèe,oxygène,0.074232,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###iiiiiii###,iiieiii,idiotie,0.006427,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###nnnnnnn###,nannnnn,adonner,0.004553,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###iiiiiii###,iiieiii,idiotie,0.006427,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###ddddddd###,ddddddd,déduire,0.221108,,,0,0
###hhhhhhh###,hhihhhi,brigade,0.047039,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###ddddddd###,ddddddd,déduire,0.221108,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###bbbbbbb###,bâbbbbu,bourbon,0.384053,,,0,0
###ûûûûûûû###,elûûemx,brûlant,0.059523,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###ddddddd###,ddddddd,déduire,0.221108,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###ggggggg###,gmgghgg,gigoter,0.242456,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###hhhhhhh###,hhihhhi,brigade,0.047039,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###îîîîîîî###,tlaîore,traître,0.068981,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###èèèèèèè###,oxxèèèe,oxygène,0.074232,,,0,0
###èèèèèèè###,oxxèèèe,oxygène,0.074232,,,0,0
###yyyyyyy###,byyyyer,bégayer,0.042148,,,0,0
###ààààààà###,dépoieé,déboire,0.146458,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###iiiiiii###,iiieiii,idiotie,0.006427,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###iiiiiii###,iiieiii,idiotie,0.006427,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###ggggggg###,gmgghgg,gigoter,0.242456,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###rrrrrrr###,rrrrrrr,recréer,0.026490,,,0,0
###èèèèèèè###,oxxèèèe,oxygène,0.074232,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###nnnnnnn###,nannnnn,adonner,0.004553,,,0,0
###yyyyyyy###,byyyyer,bégayer,0.042148,,,0,0
###üüüüüüü###,embûbré,embûche,0.030744,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###èèèèèèè###,oxxèèèe,oxygène,0.074232,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###ccccccc###,ccccccu,précoce,0.045591,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###aaaaaaa###,afaaaac,apparat,0.005915,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###rrrrrrr###,rrrrrrr,recréer,0.026490,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###ûûûûûûû###,elûûemx,brûlant,0.059523,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###bbbbbbb###,bâbbbbu,bourbon,0.384053,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###wwwwwww###,tiateré,torturé,0.004457,,,0,0
###üüüüüüü###,embûbré,embûche,0.030744,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###îîîîîîî###,tlaîore,traître,0.068981,,,0,0
###zzzzzzz###,zizgrne,limpide,0.008349,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###fffffff###,fffffff,bouffon,0.060061,,,0,0
###wwwwwww###,tiateré,torturé,0.004457,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###wwwwwww###,tiateré,torturé,0.004457,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###üüüüüüü###,embûbré,embûche,0.030744,,,0,0
###ààààààà###,dépoieé,déboire,0.146458,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###ccccccc###,ccccccu,précoce,0.045591,,,0,0
###ggggggg###,gmgghgg,gigoter,0.242456,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###bbbbbbb###,bâbbbbu,bourbon,0.384053,,,0,0
###ttttttt###,ttttttt,tentant,0.208421,,,0,0
###ôôôôôôô###,eôôlôml,hôpital,0.072526,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###nnnnnnn###,nannnnn,adonner,0.004553,,,0,0
###wwwwwww###,tiateré,torturé,0.004457,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###hhhhhhh###,hhihhhi,brigade,0.047039,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###nnnnnnn###,nannnnn,adonner,0.004553,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###xxxxxxx###,cxxmbux,coûteux,0.292255,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###rrrrrrr###,rrrrrrr,recréer,0.026490,,,0,0
###ïïïïïïï###,ggavené,naïveté,0.023063,,,0,0
###ççççççç###,saïpçon,soupçon,0.375279,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###kkkkkkk###,sioticr,siffler,0.205536,,,0,0
###sssssss###,sssssss,sagesse,0.056433,,,0,0
###jjjjjjj###,jjjjité,bonjour,0.050479,,,0,0
###yyyyyyy###,byyyyer,bégayer,0.042148,,,0,0
###bbbbbbb###,bâbbbbu,bourbon,0.384053,,,0,0
###eeeeeee###,eeeedée,envolée,0.004265,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###aaaaaaa###,afaaaac,apparat,0.005915,,,0,0
###ppppppp###,ppppppg,pourpre,0.046822,,,0,0
###îîîîîîî###,tlaîore,traître,0.068981,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###êêêêêêê###,empêêit,rêverie,0.017611,,,0,0
###iiiiiii###,iiieiii,idiotie,0.006427,,,0,0
###ôôôôôôô###,eôôlôml,hôpital,0.072526,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###wwwwwww###,tiateré,torturé,0.004457,,,0,0
###ggggggg###,gmgghgg,gigoter,0.242456,,,0,0
###hhhhhhh###,hhihhhi,brigade,0.047039,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###mmmmmmm###,mmmmmmm,murmure,0.068103,,,0,0
###vvvvvvv###,vevvvrs,vouivre,0.107659,,,0,0
###lllllll###,llullol,oeillet,0.010014,,,0,0
###ààààààà###,dépoieé,déboire,0.146458,,,0,0
###ooooooo###,omuoooc,opposer,0.008145,,,0,0
###qqqqqqq###,qroqqes,quoique,0.107108,,,0,0
###ééééééé###,écuéééé,ébréché,0.010198,,,0,0
###yyyyyyy###,byyyyer,bégayer,0.042148,,,0,0
###ûûûûûûû###,elûûemx,brûlant,0.059523,,,0,0
