input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
###pouovir###,pouvoir,pouvoir,0.677940,pouvoir,0.677940,0,1
###vouolir###,voullir,vouloir,0.117639,vouloir,0.117639,0,0
###prednre###,preenre,prendre,0.006215,prendre,0.006215,0,0
###falolir###,falolir,falloir,0.064166,falloir,0.064166,0,0
###trovuer###,trovuer,troquer,0.195642,trouver,0.001732,0,0
###laisser###,laisser,laisser,0.962039,laisser,0.962039,1,1
###arrvier###,arrvier,gravier,0.009103,arriver,0.004342,0,0
###preimer###,preiper,freiner,0.019991,premier,0.017428,0,0
###semlber###,semller,sembler,0.261108,sembler,0.261108,0,0
###queqlue###,quelque,quelque,0.928734,quelque,0.928734,0,1
###devneir###,devneir,devenir,0.083407,devenir,0.083407,0,0
###revneir###,revneir,revenir,0.177232,revenir,0.177232,0,0
###preqsue###,presque,presque,0.650804,presque,0.650804,0,1
###appleer###,appeler,appeler,0.953619,appeler,0.953619,0,1
###arrtêer###,arrttrr,arrêter,0.078756,arrêter,0.078756,0,0
###penadnt###,peqçant,pendant,0.038201,pendant,0.038201,0,0
###chabmre###,chambre,chambre,0.374934,chambre,0.374934,0,0
###deriner###,deriner,deviner,0.198048,dernier,0.013839,0,0
###assoeir###,assosir,asseoir,0.356433,asseoir,0.356433,0,0
###tounrer###,tounrer,tousser,0.039013,tourner,0.013719,0,0
###insatnt###,insnant,instant,0.660924,instant,0.660924,0,1
###marhcer###,marccer,marquer,0.069479,marcher,0.043094,0,0
###silnece###,sinence,silence,0.098433,silence,0.098433,0,0
###quitter###,quitter,quitter,0.979399,quitter,0.979399,1,1
###écotuer###,écotuer,écouter,0.157748,écouter,0.157748,0,0
###essyaer###,essayer,essayer,0.589984,essayer,0.589984,0,1
###nouevau###,nouveau,nouveau,0.966305,nouveau,0.966305,0,1
###surotut###,surutut,scruter,0.211531,surtout,0.026547,0,0
###pousser###,pousser,pousser,0.916111,pousser,0.916111,1,1
###parofis###,parfsis,parfois,0.258121,parfois,0.258121,0,0
###oubiler###,oubiler,jubiler,0.051762,oublier,0.026129,0,0
###souevnt###,souvent,souvent,0.621826,souvent,0.621826,0,1
###voiutre###,voiutre,voiture,0.074609,voiture,0.074609,0,0
###fentêre###,fentêre,fenêtre,0.039268,fenêtre,0.039268,0,0
###renrter###,rerrter,relater,0.022823,rentrer,0.000509,0,0
###monrter###,monrter,montrer,0.019944,montrer,0.019944,0,0
###famlile###,famfile,famille,0.070920,famille,0.070920,0,0
###lumèire###,lumiire,lumière,0.582767,lumière,0.582767,0,1
###traavil###,traalil,travail,0.446819,travail,0.446819,0,0
###souirre###,sourrre,sourire,0.021535,sourire,0.021535,0,0
###affiare###,affiare,affaire,0.249109,affaire,0.249109,0,0
###traevrs###,taervrs,travers,0.085405,travers,0.085405,0,0
###chagner###,chagner,stagner,0.016181,changer,0.001172,0,0
###comemnt###,comment,comment,0.641344,comment,0.641344,0,1
###génréal###,généoal,général,0.929679,général,0.929679,0,1
###plasiir###,plapiir,plaisir,0.116648,plaisir,0.116648,0,0
###glisser###,glisser,glisser,0.967255,glisser,0.967255,1,1
###ajotuer###,ajotuer,ajouter,0.044844,ajouter,0.044844,0,0
###occpuer###,occouer,occuper,0.107899,occuper,0.107899,0,0
###décdier###,déchier,déplier,0.027712,décider,0.000729,0,0
###souadin###,souadin,soudain,0.033587,soudain,0.033587,0,0
###lorqsue###,lorsque,lorsque,0.886789,lorsque,0.886789,0,1
###comtper###,comtter,compter,0.233782,compter,0.233782,0,0
###mauavis###,mauvsis,mauvais,0.330226,mauvais,0.330226,0,0
###réptéer###,répééer,réparer,0.016496,répéter,0.006322,0,0
###couelur###,couleur,coureur,0.125169,couleur,0.121048,0,0
###jounral###,jourral,journal,0.531493,journal,0.531493,0,1
###manuqer###,manquer,manquer,0.403885,manquer,0.403885,0,0
###semiane###,semiane,semaine,0.080755,semaine,0.080755,0,0
###couhcer###,couhcer,coincer,0.075063,coucher,0.027938,0,0
###avacner###,avacner,avancer,0.064842,avancer,0.064842,0,0
###orelile###,orelile,oreille,0.044150,oreille,0.044150,0,0
###touhcer###,touccer,toucher,0.198170,toucher,0.198170,0,0
###heuerux###,heureux,heureux,0.338859,heureux,0.338859,0,0
###ceratin###,ceratin,certain,0.199796,certain,0.199796,0,0
###jounrée###,jounrée,journée,0.325697,journée,0.325697,0,0
